"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"166","p248","PWY-6270","isoprene biosynthesis I","isoprene biosynthesis I (PWY-6270)","PWY-6270",0.029781,0.0081,99.7,0.029927,0.008172,99.6,0.029069,0.007767,100
"437","p81","METSYN-PWY","superpathway of L-homoserine and L-methionine biosynthesis","superpathway of L-homoserine and L-methionine biosynthesis (METSYN-PWY)","METSYN-PWY",0.029759,0.0141,99.1,0.029052,0.014181,98.9,0.03321,0.013278,100
"424","p7","ANAEROFRUCAT-PWY","homolactic fermentation","homolactic fermentation (ANAEROFRUCAT-PWY)","ANAEROFRUCAT-PWY",0.029699,0.012993,99.1,0.029459,0.013368,98.9,0.030867,0.011014,100
"91","p180","PWY-5484","glycolysis II (from fructose 6-phosphate)","glycolysis II (from fructose 6-phosphate) (PWY-5484)","PWY-5484",0.029465,0.013577,99.1,0.02882,0.013809,98.9,0.032613,0.011998,100
"12","p109","PENTOSE-P-PWY","pentose phosphate pathway","pentose phosphate pathway (PENTOSE-P-PWY)","PENTOSE-P-PWY",0.029169,0.01302,99.1,0.029279,0.013521,98.9,0.028634,0.010314,100
"295","p364","PWY-7357","thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","thiamine phosphate formation from pyrithiamine and oxythiamine (yeast) (PWY-7357)","PWY-7357",0.029034,0.010533,99.7,0.029873,0.010911,99.6,0.024941,0.00723,100
"205","p283","PWY-6609","adenine and adenosine salvage III","adenine and adenosine salvage III (PWY-6609)","PWY-6609",0.02877,0.014288,100,0.027631,0.014098,100,0.034329,0.014023,100
"4","p101","P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)","P4-PWY",0.02876,0.011035,98.8,0.028707,0.011127,98.6,0.029016,0.010665,100
"151","p234","PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II","superpathway of adenosine nucleotides de novo biosynthesis II (PWY-6126)","PWY-6126",0.028723,0.014796,100,0.028169,0.015162,100,0.031424,0.01263,100
"301","p37","FASYN-ELONG-PWY","fatty acid elongation -- saturated","fatty acid elongation -- saturated (FASYN-ELONG-PWY)","FASYN-ELONG-PWY",0.028278,0.008392,100,0.027914,0.008235,100,0.030055,0.008981,100
"433","p78","MET-SAM-PWY","superpathway of S-adenosyl-L-methionine biosynthesis","superpathway of S-adenosyl-L-methionine biosynthesis (MET-SAM-PWY)","MET-SAM-PWY",0.027943,0.013854,99.1,0.027188,0.013966,98.9,0.031626,0.012777,100
"270","p341","PWY-7228","superpathway of guanosine nucleotides de novo biosynthesis I","superpathway of guanosine nucleotides de novo biosynthesis I (PWY-7228)","PWY-7228",0.027823,0.013608,100,0.027352,0.013924,100,0.030121,0.011787,100
"332","p398","PWY0-1319","CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol biosynthesis II (PWY0-1319)","PWY0-1319",0.027635,0.013675,99.7,0.026629,0.013696,99.6,0.032546,0.012562,100
"100","p189","PWY-5667","CDP-diacylglycerol biosynthesis I","CDP-diacylglycerol biosynthesis I (PWY-5667)","PWY-5667",0.027541,0.013736,99.7,0.026545,0.013753,99.6,0.032405,0.012676,100
"302","p370","PWY-7388","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) (PWY-7388)","PWY-7388",0.027165,0.01184,100,0.026546,0.011794,100,0.030185,0.011701,100
"175","p256","PWY-6317","D-galactose degradation I (Leloir pathway)","D-galactose degradation I (Leloir pathway) (PWY-6317)","PWY-6317",0.02703,0.010595,100,0.027166,0.010282,100,0.026367,0.012085,100
"320","p387","PWY-7664","oleate biosynthesis IV (anaerobic)","oleate biosynthesis IV (anaerobic) (PWY-7664)","PWY-7664",0.026684,0.008046,100,0.026339,0.007917,100,0.02837,0.008516,100
"344","p408","PWY0-781","aspartate superpathway","aspartate superpathway (PWY0-781)","PWY0-781",0.026447,0.010521,98.8,0.026312,0.010606,98.6,0.027102,0.010157,100
"340","p404","PWY0-162","superpathway of pyrimidine ribonucleotides de novo biosynthesis","superpathway of pyrimidine ribonucleotides de novo biosynthesis (PWY0-162)","PWY0-162",0.026171,0.010126,100,0.026203,0.010652,100,0.026016,0.007083,100
"169","p250","PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) (PWY-6282)","PWY-6282",0.025918,0.007939,100,0.025567,0.007804,100,0.027635,0.008427,100
"164","p246","PWY-622","starch biosynthesis","starch biosynthesis (PWY-622)","PWY-622",0.025912,0.012051,96.2,0.026865,0.011708,96.5,0.021261,0.012709,94.8
"366","p428","PWY66-422","no MetaCyc description","no MetaCyc description (PWY66-422)","PWY66-422",0.025595,0.009656,100,0.025678,0.009307,100,0.02519,0.011286,100
"186","p266","PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)","peptidoglycan biosynthesis IV (Enterococcus faecium) (PWY-6471)","PWY-6471",0.025063,0.014036,98.2,0.025612,0.013613,98.9,0.022385,0.015798,94.8
"347","p410","PWY0-862","(5Z)-dodecenoate biosynthesis I","(5Z)-dodecenoate biosynthesis I (PWY0-862)","PWY0-862",0.024869,0.007714,100,0.024542,0.007608,100,0.026464,0.008094,100
"150","p233","PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II","superpathway of guanosine nucleotides de novo biosynthesis II (PWY-6125)","PWY-6125",0.024553,0.013042,100,0.024036,0.013281,100,0.027073,0.011579,100
"64","p156","PWY-5154","L-arginine biosynthesis III (via N-acetyl-L-citrulline)","L-arginine biosynthesis III (via N-acetyl-L-citrulline) (PWY-5154)","PWY-5154",0.02441,0.013315,98.8,0.023757,0.013555,98.6,0.027597,0.011659,100
"337","p401","PWY0-1479","tRNA processing","tRNA processing (PWY0-1479)","PWY0-1479",0.024055,0.00907,99.7,0.024378,0.009019,99.6,0.022481,0.009233,100
"327","p393","PWY0-1261","anhydromuropeptides recycling I","anhydromuropeptides recycling I (PWY0-1261)","PWY0-1261",0.024043,0.01536,92.7,0.023546,0.015534,91.5,0.026468,0.01436,98.3
"312","p38","FASYN-INITIAL-PWY","superpathway of fatty acid biosynthesis initiation (E. coli)","superpathway of fatty acid biosynthesis initiation (E. coli) (FASYN-INITIAL-PWY)","FASYN-INITIAL-PWY",0.023435,0.012774,100,0.022285,0.012465,100,0.029045,0.012883,100
"141","p225","PWY-5973","cis-vaccenate biosynthesis","cis-vaccenate biosynthesis (PWY-5973)","PWY-5973",0.02306,0.010006,100,0.021898,0.009303,100,0.028729,0.011383,100
"388","p448","TRPSYN-PWY","L-tryptophan biosynthesis","L-tryptophan biosynthesis (TRPSYN-PWY)","TRPSYN-PWY",0.022688,0.013333,100,0.022286,0.01385,100,0.024652,0.010324,100
"272","p343","PWY-7234","inosine-5'-phosphate biosynthesis III","inosine-5'-phosphate biosynthesis III (PWY-7234)","PWY-7234",0.022305,0.010857,99.7,0.021925,0.010427,99.6,0.024155,0.012688,100
"230","p305","PWY-6901","superpathway of glucose and xylose degradation","superpathway of glucose and xylose degradation (PWY-6901)","PWY-6901",0.022248,0.012041,95.3,0.022022,0.012204,95.8,0.02335,0.011249,93.1
"323","p39","FERMENTATION-PWY","mixed acid fermentation","mixed acid fermentation (FERMENTATION-PWY)","FERMENTATION-PWY",0.022243,0.014585,94.4,0.022165,0.014901,94.3,0.022626,0.01304,94.8
"367","p429","PYRIDNUCSAL-PWY","NAD salvage pathway I (PNC VI cycle)","NAD salvage pathway I (PNC VI cycle) (PYRIDNUCSAL-PWY)","PYRIDNUCSAL-PWY",0.022045,0.008835,99.7,0.022776,0.009066,99.6,0.018481,0.00659,100
"15","p111","PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","superpathway of phospholipid biosynthesis I (bacteria) (PHOSLIPSYN-PWY)","PHOSLIPSYN-PWY",0.02186,0.012329,96.8,0.02108,0.012427,96.1,0.02567,0.011172,100
"210","p288","PWY-6700","queuosine biosynthesis I (de novo)","queuosine biosynthesis I (de novo) (PWY-6700)","PWY-6700",0.021827,0.012475,100,0.020749,0.012173,100,0.027092,0.012699,100
"140","p224","PWY-5971","palmitate biosynthesis (type II fatty acid synthase)","palmitate biosynthesis (type II fatty acid synthase) (PWY-5971)","PWY-5971",0.021682,0.012184,85,0.021116,0.011926,85.2,0.024446,0.013133,84.5
"329","p395","PWY0-1296","purine ribonucleosides degradation","purine ribonucleosides degradation (PWY0-1296)","PWY0-1296",0.021658,0.013155,100,0.02109,0.013421,100,0.024429,0.011474,100
"259","p331","PWY-7208","superpathway of pyrimidine nucleobases salvage","superpathway of pyrimidine nucleobases salvage (PWY-7208)","PWY-7208",0.02144,0.011979,100,0.021268,0.012398,100,0.02228,0.009729,100
"293","p362","PWY-7328","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis (PWY-7328)","PWY-7328",0.021037,0.010657,98.8,0.022399,0.01068,98.9,0.014393,0.007679,98.3
"384","p444","THISYNARA-PWY","superpathway of thiamine diphosphate biosynthesis III (eukaryotes)","superpathway of thiamine diphosphate biosynthesis III (eukaryotes) (THISYNARA-PWY)","THISYNARA-PWY",0.020838,0.01164,99.4,0.02168,0.011981,99.3,0.016731,0.008796,100
"419","p65","HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)","superpathway of hexitol degradation (bacteria) (HEXITOLDEGSUPER-PWY)","HEXITOLDEGSUPER-PWY",0.02079,0.012927,95,0.02015,0.012877,94.7,0.023912,0.01282,96.6
"265","p337","PWY-7220","adenosine deoxyribonucleotides de novo biosynthesis II","adenosine deoxyribonucleotides de novo biosynthesis II (PWY-7220)","PWY-7220",0.020786,0.013156,100,0.020191,0.013351,100,0.023688,0.011843,100
"267","p339","PWY-7222","guanosine deoxyribonucleotides de novo biosynthesis II","guanosine deoxyribonucleotides de novo biosynthesis II (PWY-7222)","PWY-7222",0.020786,0.013156,100,0.020191,0.013351,100,0.023688,0.011843,100
"204","p282","PWY-6608","guanosine nucleotides degradation III","guanosine nucleotides degradation III (PWY-6608)","PWY-6608",0.020602,0.015765,95.9,0.019418,0.015307,95.4,0.026381,0.016805,98.3
"365","p427","PWY66-409","superpathway of purine nucleotide salvage","superpathway of purine nucleotide salvage (PWY66-409)","PWY66-409",0.020587,0.009468,99.4,0.02039,0.009804,99.3,0.021546,0.007613,100
"422","p68","HOMOSER-METSYN-PWY","L-methionine biosynthesis I","L-methionine biosynthesis I (HOMOSER-METSYN-PWY)","HOMOSER-METSYN-PWY",0.020566,0.01169,99.1,0.019803,0.011628,98.9,0.024288,0.011369,100
"401","p49","GLUCONEO-PWY","gluconeogenesis I","gluconeogenesis I (GLUCONEO-PWY)","GLUCONEO-PWY",0.020293,0.011797,96.5,0.019636,0.012,95.8,0.023499,0.010249,100
"355","p418","PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)","phosphatidylglycerol biosynthesis I (plastidic) (PWY4FS-7)","PWY4FS-7",0.01992,0.011339,98.5,0.019219,0.011431,98.2,0.023345,0.010299,100
"356","p419","PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)","phosphatidylglycerol biosynthesis II (non-plastidic) (PWY4FS-8)","PWY4FS-8",0.019864,0.011356,98.5,0.019171,0.011445,98.2,0.023245,0.010349,100
