,feature_id,feature,feature_description,feature_full,Feature,mean,sd,India_present,India_n,India_prev,India_mean,India_sd,Malawi_present,Malawi_n,Malawi_prev,Malawi_mean,Malawi_sd,fisher_p,lr_p,wilcox_p,fisher_padj,lr_padj,wilcox_padj,mean_diff,prev_diff,enriched_India,rf_rank,rf_top20,rf_n,crossval_median,crossval_quartile_1,crossval_quartile_3,maaslin_value,maaslin_coef,maaslin_stderr,maaslin_pval,maaslin_qval,maaslin_N,maaslin_N.not.zero,maaslin_qval_filt
11,p108,PANTOSYN-PWY,superpathway of coenzyme A biosynthesis I (bacteria),superpathway of coenzyme A biosynthesis I (bacteria) (PANTOSYN-PWY),PANTOSYN-PWY,0.022651055,0.045387724,281,283,99.3,0.019095123,0.012077798,58,58,100,0.023446338,0.010662774,NA,NA,0.001776899,NA,NA,0.008620494,-0.004351215,-0.7,FALSE,165,0,50,0.7,0.65,0.8,Malawi,0.001856683,0.000679155,0.006589218,0.024140498,341,339,0.024140498
12,p109,PENTOSE-P-PWY,pentose phosphate pathway,pentose phosphate pathway (PENTOSE-P-PWY),PENTOSE-P-PWY,0.01971155,0.038132218,280,283,98.9,0.029279019,0.013520853,58,58,100,0.028633744,0.010314127,NA,NA,0.664647156,NA,NA,0.718104032,0.000645275,-1.1,TRUE,186,0,50,0.7,0.65,0.8,Malawi,0.000109597,0.000639511,0.864030268,0.881529615,341,338,0.881529615
13,p11,ARGININE-SYN4-PWY,L-ornithine biosynthesis II,L-ornithine biosynthesis II (ARGININE-SYN4-PWY),ARGININE-SYN4-PWY,0.017796872,0.034437436,190,283,67.1,0.002617349,0.005081243,41,58,70.7,0.006388626,0.009869892,0.646376695,0.598358136,0.021657939,1,0.94877705,0.052897874,-0.003771278,-3.6,FALSE,212,0,50,0.7,0.65,0.8,Malawi,0.002205562,0.00062189,0.000445235,0.002718631,341,231,0.002718631
14,p110,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (meso-diaminopimelate containing),peptidoglycan biosynthesis I (meso-diaminopimelate containing) (PEPTIDOGLYCANSYN-PWY),PEPTIDOGLYCANSYN-PWY,0.039691828,0.084423134,283,283,100,0.062323262,0.017938477,58,58,100,0.053147529,0.019901204,NA,NA,4.98E-05,NA,NA,0.000427063,0.009175733,0,TRUE,54,0,50,0.7,0.65,0.8,Malawi,-0.001999894,0.000528594,0.000182835,0.001315762,341,341,0.001315762
15,p111,PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis I (bacteria),superpathway of phospholipid biosynthesis I (bacteria) (PHOSLIPSYN-PWY),PHOSLIPSYN-PWY,0.013365182,0.027939465,272,283,96.1,0.021079622,0.012427219,58,58,100,0.025669525,0.011172497,NA,NA,0.008548792,NA,NA,0.027127269,-0.004589903,-3.9,FALSE,284,0,50,0.7,0.65,0.8,Malawi,0.001962105,0.000742646,0.008622746,0.028483332,341,330,0.028483332
16,p113,POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,superpathway of polyamine biosynthesis II (POLYAMINSYN3-PWY),POLYAMINSYN3-PWY,0.002480302,0.00706131,22,283,7.8,0.0001411,0.00092324,8,58,13.8,0.000464273,0.001911702,0.198765985,0.145943682,0.120686775,0.663448627,0.512445269,0.175751515,-0.000323174,-6,FALSE,393,0,50,0.7,0.65,0.8,Malawi,0.000401249,0.000195022,0.040406473,0.081419044,341,30,0.081419044
17,p114,POLYAMSYN-PWY,superpathway of polyamine biosynthesis I,superpathway of polyamine biosynthesis I (POLYAMSYN-PWY),POLYAMSYN-PWY,0.013189813,0.026020974,264,283,93.3,0.013621493,0.011259449,56,58,96.6,0.016339526,0.011614779,0.548658135,0.355158109,0.079436302,1,0.923411082,0.132833318,-0.002718033,-3.3,FALSE,288,0,50,0.7,0.65,0.8,Malawi,0.001389346,0.000786804,0.078327929,0.135477062,341,320,0.135477062
18,p115,POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (E. coli),polyisoprenoid biosynthesis (E. coli) (POLYISOPRENSYN-PWY),POLYISOPRENSYN-PWY,0.020854287,0.041464136,279,283,98.6,0.008777288,0.006395334,58,58,100,0.01215047,0.006921959,NA,NA,0.000648919,NA,NA,0.003735921,-0.003373181,-1.4,FALSE,181,0,50,0.7,0.65,0.8,Malawi,0.001830486,0.000520993,0.0005023,0.003021294,341,337,0.003021294
19,p116,PPGPPMET-PWY,ppGpp metabolism,ppGpp metabolism (PPGPPMET-PWY),PPGPPMET-PWY,0.019299246,0.036327411,256,283,90.5,0.005276949,0.00559428,54,58,93.1,0.004435731,0.003705705,0.624765298,0.525306749,0.864698741,1,0.942209208,0.893522033,0.000841217,-2.6,TRUE,194,0,50,0.7,0.65,0.8,Malawi,-0.000224371,0.000533423,0.674295383,0.716994827,341,310,0.716994827
20,p118,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,protocatechuate degradation II (ortho-cleavage pathway),protocatechuate degradation II (ortho-cleavage pathway) (PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY),PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.030083003,0.07312445,176,283,62.2,0.00171099,0.003948353,22,58,37.9,0.000464074,0.001264516,0.000768357,0.000859722,0.000866065,0.016588215,0.016334724,0.004716545,0.001246916,24.3,TRUE,96,0,50,0.7,0.65,0.8,Malawi,-0.001365309,0.00045293,0.00276903,0.012920337,341,198,0.012920337
21,p119,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis","superpathway of histidine, purine, and pyrimidine biosynthesis (PRPP-PWY)",PRPP-PWY,0.015936963,0.031263796,228,283,80.6,0.007468744,0.006804821,49,58,84.5,0.01000212,0.008317411,0.581810606,0.487424952,0.043386792,1,0.942209208,0.084347995,-0.002533376,-3.9,FALSE,241,0,50,0.7,0.65,0.8,Malawi,0.00142361,0.000686527,0.038867422,0.079108945,341,277,0.079108945
22,p12,ARGORNPROST-PWY,no MetaCyc description,no MetaCyc description (ARGORNPROST-PWY),ARGORNPROST-PWY,0.008997112,0.018159946,133,283,47,0.000704594,0.001386845,23,58,39.7,0.000987604,0.002526416,0.31597318,0.307669852,0.414604608,0.922093205,0.853870264,0.481514862,-0.000283011,7.3,FALSE,357,0,50,0.7,0.65,0.8,Malawi,2.14E-05,0.00032176,0.946994339,0.949350046,341,156,0.949350046
23,p121,PWY-1042,glycolysis IV,glycolysis IV (PWY-1042),PWY-1042,0.03382407,0.06695133,283,283,100,0.04069947,0.015854355,58,58,100,0.04644978,0.012061592,NA,NA,0.003982288,NA,NA,0.016210727,-0.00575031,0,FALSE,78,0,50,0.7,0.65,0.8,Malawi,0.001624649,0.000579526,0.00534765,0.021337652,341,341,0.021337652
24,p122,PWY-1269,CMP-3-deoxy-D-manno-octulosonate biosynthesis,CMP-3-deoxy-D-manno-octulosonate biosynthesis (PWY-1269),PWY-1269,0.033484612,0.06465648,266,283,94,0.013104003,0.010504292,56,58,96.6,0.020178722,0.012977991,0.75209405,0.444979879,9.66E-05,1,0.93664451,0.000720956,-0.007074719,-2.6,FALSE,79,0,50,0.7,0.65,0.8,Malawi,0.002883357,0.000771282,0.000217316,0.001509974,341,322,0.001509974
25,p124,PWY-1541,superpathway of taurine degradation,superpathway of taurine degradation (PWY-1541),PWY-1541,0.039576401,0.080508554,108,283,38.2,0.000655919,0.001752588,8,58,13.8,9.53E-05,0.000483519,0.000229924,0.000737896,0.000208312,0.009976268,0.015188369,0.001354872,0.000560582,24.4,TRUE,55,0,50,0.7,0.65,0.8,Malawi,-0.000987924,0.000297777,0.001006234,0.005406831,341,116,0.005406831
26,p125,PWY-1622,formaldehyde assimilation I (serine pathway),formaldehyde assimilation I (serine pathway) (PWY-1622),PWY-1622,0.002010448,0.005387749,28,283,9.9,0.000155843,0.000786469,1,58,1.7,1.45E-05,0.000110569,0.039724519,0.07442501,0.043508795,0.200244005,0.322508375,0.084347995,0.000141324,8.2,TRUE,397,0,50,0.7,0.65,0.8,Malawi,-0.000280783,0.000160117,0.080401204,0.137879511,341,29,0.137879511
27,p127,PWY-1861,formaldehyde assimilation II (assimilatory RuMP Cycle),formaldehyde assimilation II (assimilatory RuMP Cycle) (PWY-1861),PWY-1861,0.023425686,0.047540123,227,283,80.2,0.004808109,0.006909276,49,58,84.5,0.008079411,0.010618718,0.58217639,0.451896915,0.061293823,1,0.93664451,0.108339521,-0.003271302,-4.3,FALSE,152,0,50,0.7,0.65,0.8,Malawi,0.00171871,0.000692543,0.013558315,0.038209796,341,276,0.038209796
28,p129,PWY-241,"C4 photosynthetic carbon assimilation cycle, NADP-ME type","C4 photosynthetic carbon assimilation cycle, NADP-ME type (PWY-241)",PWY-241,0.169091226,0.31581707,240,283,84.8,0.004759595,0.005478268,56,58,96.6,0.010447203,0.007330631,0.017226251,0.028958853,1.91E-08,0.128935876,0.18647125,8.58E-07,-0.005687607,-11.8,FALSE,1,1,50,0.7,0.65,0.8,Malawi,0.003693494,0.000594808,1.55E-09,8.18E-08,341,296,8.18E-08
29,p13,ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),L-arginine biosynthesis I (via L-ornithine) (ARGSYN-PWY),ARGSYN-PWY,0.098602598,0.188276556,283,283,100,0.060093411,0.019415969,58,58,100,0.043574857,0.017047396,NA,NA,5.35E-09,NA,NA,5.49E-07,0.016518554,0,TRUE,6,1,50,0.7,0.65,0.8,Malawi,-0.003695101,0.00058237,7.13E-10,4.79E-08,341,341,4.79E-08
30,p130,PWY-2723,trehalose degradation V,trehalose degradation V (PWY-2723),PWY-2723,0.087710672,0.160682089,283,283,100,0.045059751,0.021391908,57,58,98.3,0.028249828,0.018531148,NA,NA,1.90E-08,NA,NA,8.58E-07,0.016809923,1.7,TRUE,11,1,50,0.7,0.65,0.8,Malawi,-0.004749528,0.000765823,1.62E-09,8.18E-08,341,340,8.18E-08
31,p131,PWY-2941,L-lysine biosynthesis II,L-lysine biosynthesis II (PWY-2941),PWY-2941,0.028748161,0.057484086,282,283,99.6,0.018435248,0.012334747,57,58,98.3,0.019918866,0.0126466,NA,NA,0.350165919,NA,NA,0.418744408,-0.001483619,1.3,FALSE,104,0,50,0.7,0.65,0.8,Malawi,0.000504435,0.000682263,0.460203088,0.529890984,341,339,0.529890984
32,p132,PWY-2942,L-lysine biosynthesis III,L-lysine biosynthesis III (PWY-2942),PWY-2942,0.058987497,0.107108019,283,283,100,0.066758104,0.023430872,58,58,100,0.050078902,0.018803973,NA,NA,1.14E-07,NA,NA,3.07E-06,0.016679202,0,TRUE,28,0,50,0.7,0.65,0.8,Malawi,-0.003419442,0.000630997,1.14E-07,3.06E-06,341,341,3.06E-06
33,p133,PWY-3001,superpathway of L-isoleucine biosynthesis I,superpathway of L-isoleucine biosynthesis I (PWY-3001),PWY-3001,0.026759517,0.050591859,283,283,100,0.071090162,0.021051908,58,58,100,0.057928441,0.018567619,NA,NA,5.09E-06,NA,NA,6.84E-05,0.01316172,0,TRUE,122,0,50,0.7,0.65,0.8,Malawi,-0.002580754,0.000571886,8.84E-06,0.000111311,341,341,0.000111311
34,p135,PWY-3841,folate transformations II (plants),folate transformations II (plants) (PWY-3841),PWY-3841,0.036808705,0.073184566,283,283,100,0.057307354,0.019892366,58,58,100,0.051420473,0.022980192,NA,NA,0.003890928,NA,NA,0.016000448,0.00588688,0,TRUE,65,0,50,0.7,0.65,0.8,Malawi,-0.001384677,0.000603727,0.02242788,0.054778398,341,341,0.054778398
35,p136,PWY-4041,&gamma;-glutamyl cycle,gamma-glutamyl cycle (PWY-4041),PWY-4041,0.030983541,0.059588128,283,283,100,0.053639923,0.020754776,58,58,100,0.0405212,0.01840503,NA,NA,6.95E-06,NA,NA,8.24E-05,0.013118723,0,TRUE,90,0,50,0.7,0.65,0.8,Malawi,-0.003104599,0.000676807,6.33E-06,8.51E-05,341,341,8.51E-05
36,p137,PWY-4242,9808.661488,no MetaCyc description (PWY-4242),PWY-4242,0.022895067,0.044483917,283,283,100,0.048488498,0.022918343,58,58,100,0.043858684,0.018822062,NA,NA,0.162409082,NA,NA,0.219633759,0.004629814,0,TRUE,162,0,50,0.7,0.65,0.8,Malawi,-0.000844845,0.000747686,0.259297623,0.329643351,341,341,0.329643351
37,p138,PWY-4321,L-glutamate degradation IV,L-glutamate degradation IV (PWY-4321),PWY-4321,0.023341595,0.047398151,214,283,75.6,0.001628159,0.002133299,40,58,69,0.001185652,0.001727038,0.321664312,0.29112555,0.133188695,0.922093205,0.821091108,0.18767498,0.000442507,6.6,TRUE,154,0,50,0.7,0.65,0.8,Malawi,-0.000578447,0.000369453,0.11835524,0.180604398,341,254,0.180604398
38,p14,ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),L-arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY),ARGSYNBSUB-PWY,0.114959233,0.219624927,283,283,100,0.059595534,0.019769804,58,58,100,0.042266796,0.016914937,NA,NA,1.33E-09,NA,NA,2.68E-07,0.017328737,0,TRUE,5,1,50,0.7,0.65,0.8,Malawi,-0.003904674,0.000596907,2.25E-10,4.53E-08,341,341,4.53E-08
39,p140,PWY-4702,phytate degradation I,phytate degradation I (PWY-4702),PWY-4702,0.021273384,0.049708344,246,283,86.9,0.00653441,0.006674882,55,58,94.8,0.010279676,0.00809157,0.115631506,0.101032956,0.000827154,0.439399722,0.409100657,0.004566344,-0.003745266,-7.9,FALSE,178,0,50,0.7,0.65,0.8,Malawi,0.002257684,0.000660135,0.000702564,0.00398779,341,301,0.00398779
40,p141,PWY-4722,creatinine degradation II,creatinine degradation II (PWY-4722),PWY-4722,0.006450787,0.019519991,20,283,7.1,1.44E-05,8.59E-05,0,58,0,0,0,0.031638528,0.990400306,0.037472338,0.192370903,0.990667611,0.076538702,1.44E-05,7.1,TRUE,378,0,50,0.7,0.65,0.8,Malawi,-8.97E-05,4.86E-05,0.065514441,0.117343643,341,20,0.117343643
41,p142,PWY-4981,L-proline biosynthesis II (from arginine),L-proline biosynthesis II (from arginine) (PWY-4981),PWY-4981,0.028329058,0.052285369,270,283,95.4,0.007048363,0.008011896,56,58,96.6,0.010641984,0.011724414,NA,NA,0.064475839,NA,NA,0.112483824,-0.00359362,-1.2,FALSE,107,0,50,0.7,0.65,0.8,Malawi,0.001612861,0.0006638,0.015628526,0.041529739,341,326,0.041529739
42,p143,PWY-4984,urea cycle,urea cycle (PWY-4984),PWY-4984,0.019323405,0.037188343,179,283,63.3,0.002578772,0.005731529,39,58,67.2,0.004765115,0.007046723,0.65315047,0.564562602,0.029049801,1,0.942209208,0.06362538,-0.002186343,-3.9,FALSE,193,0,50,0.7,0.65,0.8,Malawi,0.001693265,0.000606867,0.005566025,0.02152672,341,218,0.02152672
43,p144,PWY-5005,biotin biosynthesis II,biotin biosynthesis II (PWY-5005),PWY-5005,0.019874051,0.037668539,233,283,82.3,0.005718691,0.009288397,48,58,82.8,0.004874838,0.006872219,1,0.938065811,0.965502878,1,0.990667611,0.975182105,0.000843853,-0.5,TRUE,185,0,50,0.7,0.65,0.8,Malawi,-0.000237666,0.000710867,0.738335275,0.770047313,341,281,0.770047313
44,p145,PWY-5022,4-aminobutanoate degradation V,4-aminobutanoate degradation V (PWY-5022),PWY-5022,0.029711363,0.070115528,220,283,77.7,0.001522634,0.002358959,49,58,84.5,0.003263294,0.004000904,0.292686689,0.254564144,0.002046193,0.871007377,0.757558357,0.009162397,-0.00174066,-6.8,FALSE,98,0,50,0.7,0.65,0.8,Malawi,0.001606816,0.000407005,9.59E-05,0.000757743,341,269,0.000757743
45,p146,PWY-5028,L-histidine degradation II,L-histidine degradation II (PWY-5028),PWY-5028,0.010341549,0.020146155,77,283,27.2,0.000617299,0.002545797,11,58,19,0.000167291,0.000506895,0.248624636,0.194161196,0.175005904,0.767628564,0.656956375,0.231323089,0.000450008,8.2,TRUE,343,0,50,0.7,0.65,0.8,Malawi,-0.000494026,0.000307573,0.109159449,0.171949674,341,88,0.171949674
46,p147,PWY-5030,L-histidine degradation III,L-histidine degradation III (PWY-5030),PWY-5030,0.089948951,0.171588179,116,283,41,0.001121859,0.003189684,39,58,67.2,0.004807715,0.007062127,0.000282329,0.000377559,3.09E-07,0.009976268,0.015188369,6.22E-06,-0.003685855,-26.2,FALSE,10,1,50,0.7,0.65,0.8,Malawi,0.003201531,0.0004798,1.03E-10,4.13E-08,341,155,4.13E-08
47,p148,PWY-5083,NAD(P)/NADPH interconversion,NAD(P)/NADPH interconversion (PWY-5083),PWY-5083,0.010496349,0.021136913,251,283,88.7,0.006304363,0.005902733,52,58,89.7,0.006870948,0.005669234,1,0.831974133,0.331667906,1,0.990667611,0.39899154,-0.000566585,-1,FALSE,339,0,50,0.7,0.65,0.8,Malawi,0.000555347,0.000597152,0.353036256,0.424764943,341,303,0.424764943
48,p149,PWY-5088,L-glutamate degradation VIII (to propanoate),L-glutamate degradation VIII (to propanoate) (PWY-5088),PWY-5088,0.014540696,0.028227829,82,283,29,0.000425637,0.001225708,18,58,31,0.000496406,0.001164779,0.753347641,0.753720103,0.524058528,1,0.990667611,0.589931807,-7.08E-05,-2,FALSE,264,0,50,0.7,0.65,0.8,Malawi,0.000200493,0.000267522,0.454109329,0.524372664,341,100,0.524372664
49,p15,ARO-PWY,chorismate biosynthesis I,chorismate biosynthesis I (ARO-PWY),ARO-PWY,0.033319891,0.081547661,283,283,100,0.053222239,0.015962335,58,58,100,0.044730457,0.013125467,NA,NA,5.30E-05,NA,NA,0.000436037,0.008491782,0,TRUE,81,0,50,0.7,0.65,0.8,Malawi,-0.001870147,0.00048196,0.000125361,0.000953214,341,341,0.000953214
50,p150,PWY-5097,L-lysine biosynthesis VI,L-lysine biosynthesis VI (PWY-5097),PWY-5097,0.077367159,0.141930333,283,283,100,0.063468803,0.022140189,58,58,100,0.046775766,0.017368167,NA,NA,1.58E-08,NA,NA,8.58E-07,0.016693038,0,TRUE,14,1,50,0.7,0.65,0.8,Malawi,-0.00352199,0.000610126,1.76E-08,6.46E-07,341,341,6.46E-07
51,p151,PWY-5100,pyruvate fermentation to acetate and lactate II,pyruvate fermentation to acetate and lactate II (PWY-5100),PWY-5100,0.072891578,0.13616368,283,283,100,0.057919463,0.024101658,58,58,100,0.042222671,0.031625895,NA,NA,6.10E-07,NA,NA,1.17E-05,0.015696792,0,TRUE,18,1,50,0.7,0.65,0.8,Malawi,-0.004139486,0.000802628,4.27E-07,8.60E-06,341,341,8.60E-06
52,p153,PWY-5103,L-isoleucine biosynthesis III,L-isoleucine biosynthesis III (PWY-5103),PWY-5103,0.023586127,0.049193529,283,283,100,0.073833522,0.020829778,58,58,100,0.061173382,0.018592921,NA,NA,1.43E-05,NA,NA,0.000148096,0.01266014,0,TRUE,151,0,50,0.7,0.65,0.8,Malawi,-0.002428457,0.000558051,1.79E-05,0.000195027,341,341,0.000195027
53,p154,PWY-5104,L-isoleucine biosynthesis IV,L-isoleucine biosynthesis IV (PWY-5104),PWY-5104,0.016464437,0.033168516,251,283,88.7,0.011146021,0.010759704,53,58,91.4,0.016811985,0.01230312,0.649282834,0.550245076,0.001035119,1,0.942209208,0.005488857,-0.005665964,-2.7,FALSE,230,0,50,0.7,0.65,0.8,Malawi,0.002775249,0.000830899,0.0009309,0.005069629,341,304,0.005069629
54,p155,PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) (PWY-5121),PWY-5121,0.033334106,0.065877805,279,283,98.6,0.009363245,0.005638884,58,58,100,0.012214081,0.007237929,NA,NA,0.007607196,NA,NA,0.024924389,-0.002850836,-1.4,FALSE,80,0,50,0.7,0.65,0.8,Malawi,0.001452416,0.000455191,0.001551485,0.00812011,341,337,0.00812011
55,p156,PWY-5154,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine biosynthesis III (via N-acetyl-L-citrulline) (PWY-5154),PWY-5154,0.022982526,0.044550605,279,283,98.6,0.02375676,0.013555387,58,58,100,0.027596792,0.0116585,NA,NA,0.089469237,NA,NA,0.144803625,-0.003840031,-1.4,FALSE,161,0,50,0.7,0.65,0.8,Malawi,0.001673562,0.000729539,0.022401608,0.054778398,341,337,0.054778398
56,p158,PWY-5173,307.3353044,no MetaCyc description (PWY-5173),PWY-5173,0.014958882,0.029517576,278,283,98.2,0.01253408,0.009993787,57,58,98.3,0.013797348,0.009441741,NA,NA,0.233419611,NA,NA,0.297683871,-0.001263268,-0.1,FALSE,258,0,50,0.7,0.65,0.8,Malawi,0.00078708,0.000662154,0.235403252,0.304062534,341,335,0.304062534
57,p159,PWY-5178,toluene degradation IV (aerobic) (via catechol),toluene degradation IV (aerobic) (via catechol) (PWY-5178),PWY-5178,0.034000375,0.070362273,147,283,51.9,0.000693045,0.001365126,15,58,25.9,0.000187005,0.000517143,0.000282728,0.000455676,0.000232274,0.009976268,0.015188369,0.001462599,0.00050604,26,TRUE,77,0,50,0.7,0.65,0.8,Malawi,-0.000988292,0.000283579,0.000556653,0.003251177,341,162,0.003251177
58,p16,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,superpathway of L-aspartate and L-asparagine biosynthesis (ASPASN-PWY),ASPASN-PWY,0.067888505,0.13041023,282,283,99.6,0.028821194,0.013180952,58,58,100,0.036390858,0.01238242,NA,NA,9.97E-05,NA,NA,0.000730535,-0.007569664,-0.4,FALSE,21,0,50,0.7,0.65,0.8,Malawi,0.002324976,0.000586249,8.93E-05,0.000734052,341,340,0.000734052
59,p160,PWY-5180,toluene degradation I (aerobic) (via o-cresol),toluene degradation I (aerobic) (via o-cresol) (PWY-5180),PWY-5180,0.026786036,0.060993664,230,283,81.3,0.005784865,0.006240204,35,58,60.3,0.004332116,0.005657645,0.000918101,0.000685771,0.027121392,0.016588215,0.015188369,0.060721783,0.001452749,21,TRUE,121,0,50,0.7,0.65,0.8,Malawi,-0.001439945,0.000647274,0.026764061,0.062708818,341,265,0.062708818
60,p161,PWY-5181,toluene degradation III (aerobic) (via p-cresol),toluene degradation III (aerobic) (via p-cresol) (PWY-5181),PWY-5181,0.019423285,0.040700022,138,283,48.8,0.001709466,0.004089212,18,58,31,0.000400104,0.001225979,0.014199829,0.014931632,0.005395987,0.111349078,0.13107651,0.019950299,0.001309362,17.8,TRUE,191,0,50,0.7,0.65,0.8,Malawi,-0.001345933,0.000468202,0.004299787,0.018834939,341,156,0.018834939
61,p162,PWY-5182,toluene degradation II (aerobic) (via 4-methylcatechol),toluene degradation II (aerobic) (via 4-methylcatechol) (PWY-5182),PWY-5182,0.029339241,0.064348305,230,283,81.3,0.005784865,0.006240204,35,58,60.3,0.004332116,0.005657645,0.000918101,0.000685771,0.027121392,0.016588215,0.015188369,0.060721783,0.001452749,21,TRUE,100,0,50,0.7,0.65,0.8,Malawi,-0.001439945,0.000647274,0.026764061,0.062708818,341,265,0.062708818
