"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Hydrogenophilus",0.149,0.012,3.7e-26,4.144e-25,"zinb","Hydrogenophilus","positively correlated",24.3825802532628,56,0,"age",0.525798525798526,0.00841377304886366
"Bradyrhizobium",0.088,0.012,9.5e-12,3.325e-11,"zinb","Bradyrhizobium","positively correlated",10.4782083503609,56,0,"age",0.233415233415233,0.00806556072503657
"Blautia",-0.025,0.012,0.033,0.0410666666666667,"zinb","Blautia","negatively correlated",1.38651054689126,56,0,"age",0.218673218673219,0.00103716539604716
"Dermacoccus",0.059,0.012,2.8e-06,6.03076923076923e-06,"zinb","Dermacoccus","positively correlated",5.2196272896224,56,0,"age",0.201474201474201,0.00320958408088524
"Paracoccus",0.056,0.013,2.5e-05,4.66666666666667e-05,"zinb","Paracoccus","positively correlated",4.33099321904142,56,0,"age",0.852579852579853,0.0203612788489398
"Granulicatella",0.159,0.009,1.9e-43,5.32e-42,"zinb","Granulicatella","positively correlated",41.274088367705,56,0,"age",0.314496314496314,0.00368205584585756
"Micrococcus",0.08,0.011,2.3e-11,7.15555555555556e-11,"zinb","Micrococcus","positively correlated",10.1453566420795,56,0,"age",0.742014742014742,0.010223919164298
"Kocuria",0.068,0.01,2.8e-11,8.25263157894737e-11,"zinb","Kocuria","positively correlated",10.0834075426044,56,0,"age",0.651105651105651,0.00876920645910865
"S31",0.125,0.014,2e-17,1.4e-16,"zinb","S31","positively correlated",15.8538719643218,56,0,"age",0.434889434889435,0.00534729270515271
"Janibacter",0.013,0.012,0.26,0.297142857142857,"zinb","Janibacter","ns",0.527034705051495,56,0,"age",0.341523341523342,0.00246000724674681
"Aeromonas",0.032,0.011,0.0034,0.00501052631578947,"zinb","Aeromonas","positively correlated",2.30011665256835,56,0,"age",0.474201474201474,0.0043284535421585
"Aerococcus",0.067,0.01,1.5e-11,4.94117647058823e-11,"zinb","Aerococcus","positively correlated",10.3061696353164,56,0,"age",0.240786240786241,0.00116680951945247
"Shewanella",0.041,0.01,8.1e-05,0.00014175,"zinb","Shewanella","positively correlated",3.84847693243506,56,0,"age",0.243243243243243,0.00241775875529992
"Chryseobacterium",0.039,0.012,0.0015,0.00233333333333333,"zinb","Chryseobacterium","positively correlated",2.63202321470541,56,0,"age",0.240786240786241,0.0011677420102177
"Cloacibacterium",0.101,0.012,5.7e-16,3.304e-15,"zinb","Cloacibacterium","positively correlated",14.4809599613517,56,0,"age",0.265356265356265,0.00273236227433905
"Rheinheimera",0.05,0.011,9.9e-06,1.98e-05,"zinb","Rheinheimera","positively correlated",4.70333480973847,56,0,"age",0.336609336609337,0.00247220407699998
"Exiguobacterium",0.085,0.011,2.9e-12,1.08266666666667e-11,"zinb","Exiguobacterium","positively correlated",10.9655052341505,56,0,"age",0.336609336609337,0.00456203151256413
"Actinomyces",-0.014,0.017,0.41,0.4592,"zinb","Actinomyces","ns",0.337998120610083,56,0,"age",0.223587223587224,0.00330104838018707
"Alishewanella",0.003,0.012,0.79,0.819259259259259,"zinb","Alishewanella","ns",0.0865786415263267,56,0,"age",0.390663390663391,0.00359084017089311
"Brachybacterium",0.035,0.011,0.0026,0.00393513513513514,"zinb","Brachybacterium","positively correlated",2.40504034908998,56,0,"age",0.385749385749386,0.00221518861170944
"Rubellimicrobium",0.114,0.014,3.3e-15,1.68e-14,"zinb","Rubellimicrobium","positively correlated",13.7746907182741,56,0,"age",0.334152334152334,0.00377331022786493
"Brevundimonas",0.103,0.012,5e-15,2.15384615384615e-14,"zinb","Brevundimonas","positively correlated",13.6667853209646,56,0,"age",0.292383292383292,0.00263310963158508
"Stenotrophomonas",0.076,0.018,3e-05,5.41935483870968e-05,"zinb","Stenotrophomonas","positively correlated",4.26605241210841,56,0,"age",0.267813267813268,0.00176755648271629
"Geobacillus",0.059,0.018,0.00087,0.001392,"zinb","Geobacillus","positively correlated",2.85636076472546,56,0,"age",0.255528255528256,0.00311514629195092
"Bergeyella",0.045,0.01,2.1e-05,4.0551724137931e-05,"zinb","Bergeyella","positively correlated",4.39199067615884,56,0,"age",0.233415233415233,0.00190905155788717
"Moraxella",0.014,0.01,0.15,0.178723404255319,"zinb","Moraxella","ns",0.747818571873836,56,0,"age",0.245700245700246,0.00186193195858658
"Neisseria",-0.027,0.012,0.025,0.0325581395348837,"zinb","Neisseria","negatively correlated",1.48734041990135,56,0,"age",0.206388206388206,0.00143876530486808
"Saccharopolyspora",0.144,0.011,6.8e-32,9.52e-31,"zinb","Saccharopolyspora","positively correlated",30.0213630516155,56,0,"age",0.319410319410319,0.00196084748575086
"Anaerococcus",-0.025,0.012,0.033,0.0410666666666667,"zinb","Anaerococcus","negatively correlated",1.38651054689126,56,0,"age",0.292383292383292,0.00244493276833335
"Comamonas",-0.017,0.014,0.22,0.256666666666667,"zinb","Comamonas","ns",0.590630529547181,56,0,"age",0.348894348894349,0.00220460398034473
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.038,0.011,0.00053,0.000899393939393939,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","positively correlated",3.0460500432709,56,0,"age",0.27027027027027,0.0013312153887434
"Qipengyuania",0.095,0.014,1.7e-10,4.76e-10,"zinb","Qipengyuania","positively correlated",9.32239304727951,56,0,"age",0.226044226044226,0.00154480401289153
"Brevibacterium",0.008,0.011,0.44,0.473846153846154,"zinb","Brevibacterium","ns",0.324362640142411,56,0,"age",0.221130221130221,0.0010202772547938
"Ornithinimicrobium",0.094,0.012,7.9e-14,3.16e-13,"zinb","Ornithinimicrobium","positively correlated",12.5003129173816,56,0,"age",0.361179361179361,0.00171561263290504
"Deinococcus",0.063,0.002,1.6e-75,8.96e-74,"zinb","Deinococcus","positively correlated",73.0476919903379,56,0,"age",0.238329238329238,0.00191848374449399
"Novosphingobium",0.058,0.01,8.8e-09,2.24e-08,"zinb","Novosphingobium","positively correlated",7.64975198166584,56,0,"age",0.203931203931204,0.0010758726203455
"unassigned",0.01,0.013,0.43,0.472156862745098,"zinb","unassigned","ns",0.325913693512149,56,0,"age",0.257985257985258,0.000257843392968694
"Sphingomonas",0.127,0.014,2e-17,1.4e-16,"zinb","Sphingomonas","positively correlated",15.8538719643218,56,0,"age",0.395577395577396,0.00345169465655792
"Bifidobacterium1",-0.012,0.182,0.95,0.967272727272727,"zinb","Bifidobacterium","ns",0.0144510571991957,56,0,"seroconv",0.884520884520885,0.0293019611791056
"Streptococcus1",0.058,0.092,0.53,0.967272727272727,"nb","Streptococcus","ns",0.0144510571991957,56,0,"seroconv",0.99017199017199,0.343528102016591
"Staphylococcus1",-0.101,0.117,0.39,0.967272727272727,"nb","Staphylococcus","ns",0.0144510571991957,56,0,"seroconv",0.977886977886978,0.193733125003598
"Veillonella1",0.307,0.175,0.081,0.784,"zinb","Veillonella","ns",0.105683937315561,56,0,"seroconv",0.574938574938575,0.0397571732007314
"Lactobacillus1",-0.151,0.27,0.58,0.967272727272727,"zinb","Lactobacillus","ns",0.0144510571991957,56,0,"seroconv",0.28992628992629,0.00638245704506519
"Collinsella1",0.39,0.277,0.16,0.967272727272727,"zinb","Collinsella","ns",0.0144510571991957,56,0,"seroconv",0.275184275184275,0.00264442021262995
"Haemophilus1",0.152,0.314,0.63,0.967272727272727,"zinb","Haemophilus","ns",0.0144510571991957,56,0,"seroconv",0.282555282555283,0.00342050633408531
"Klebsiella1",-0.174,0.275,0.53,0.967272727272727,"zinb","Klebsiella","ns",0.0144510571991957,56,0,"seroconv",0.398034398034398,0.0049400355388829
"Enterococcus1",0.299,0.322,0.35,0.967272727272727,"zinb","Enterococcus","ns",0.0144510571991957,56,0,"seroconv",0.235872235872236,0.00250654250540384
"Rothia1",-0.174,0.166,0.3,0.967272727272727,"zinb","Rothia","ns",0.0144510571991957,56,0,"seroconv",0.744471744471744,0.0248646463434843
"Gemella1",0.099,0.179,0.58,0.967272727272727,"zinb","Gemella","ns",0.0144510571991957,56,0,"seroconv",0.515970515970516,0.0142060874629519
"Bacillus1",0.03,0.28,0.91,0.967272727272727,"zinb","Bacillus","ns",0.0144510571991957,56,0,"seroconv",0.292383292383292,0.00244668258949716
"Pseudomonas1",-0.135,0.161,0.4,0.967272727272727,"zinb","Pseudomonas","ns",0.0144510571991957,56,0,"seroconv",0.916461916461916,0.0268819873199749
"Cutibacterium1",-0.048,0.196,0.81,0.967272727272727,"zinb","Cutibacterium","ns",0.0144510571991957,56,0,"seroconv",0.813267813267813,0.011026833883184
"Enterobacter1",-0.124,0.338,0.71,0.967272727272727,"zinb","Enterobacter","ns",0.0144510571991957,56,0,"seroconv",0.221130221130221,0.00114387809649315
"Acinetobacter1",-0.063,0.155,0.68,0.967272727272727,"nb","Acinetobacter","ns",0.0144510571991957,56,0,"seroconv",0.97051597051597,0.0741282564024296
"Enhydrobacter1",0.18,0.247,0.47,0.967272727272727,"zinb","Enhydrobacter","ns",0.0144510571991957,56,0,"seroconv",0.624078624078624,0.00786453979767169
"Corynebacterium_11",-0.135,0.153,0.38,0.967272727272727,"nb","Corynebacterium_1","ns",0.0144510571991957,56,0,"seroconv",0.955773955773956,0.0762734232998747
"Hydrogenophilus1",0.247,0.253,0.33,0.967272727272727,"zinb","Hydrogenophilus","ns",0.0144510571991957,56,0,"seroconv",0.525798525798526,0.00841377304886366
"Bradyrhizobium1",0.209,0.326,0.52,0.967272727272727,"zinb","Bradyrhizobium","ns",0.0144510571991957,56,0,"seroconv",0.233415233415233,0.00806556072503657
"Blautia1",-0.153,0.315,0.63,0.967272727272727,"zinb","Blautia","ns",0.0144510571991957,56,0,"seroconv",0.218673218673219,0.00103716539604716
"Dermacoccus1",-0.175,0.342,0.61,0.967272727272727,"zinb","Dermacoccus","ns",0.0144510571991957,56,0,"seroconv",0.201474201474201,0.00320958408088524
"Paracoccus1",-0.167,0.172,0.33,0.967272727272727,"zinb","Paracoccus","ns",0.0144510571991957,56,0,"seroconv",0.852579852579853,0.0203612788489398
"Granulicatella1",0.297,0.234,0.21,0.967272727272727,"zinb","Granulicatella","ns",0.0144510571991957,56,0,"seroconv",0.314496314496314,0.00368205584585756
"Micrococcus1",0.034,0.195,0.86,0.967272727272727,"zinb","Micrococcus","ns",0.0144510571991957,56,0,"seroconv",0.742014742014742,0.010223919164298
"Kocuria1",0.023,0.23,0.92,0.967272727272727,"zinb","Kocuria","ns",0.0144510571991957,56,0,"seroconv",0.651105651105651,0.00876920645910865
"S311",-0.095,0.261,0.72,0.967272727272727,"zinb","S31","ns",0.0144510571991957,56,0,"seroconv",0.434889434889435,0.00534729270515271
"Janibacter1",0.122,0.245,0.62,0.967272727272727,"zinb","Janibacter","ns",0.0144510571991957,56,0,"seroconv",0.341523341523342,0.00246000724674681
"Aeromonas1",0.19,0.27,0.48,0.967272727272727,"zinb","Aeromonas","ns",0.0144510571991957,56,0,"seroconv",0.474201474201474,0.0043284535421585
"Aerococcus1",0.067,0.326,0.84,0.967272727272727,"zinb","Aerococcus","ns",0.0144510571991957,56,0,"seroconv",0.240786240786241,0.00116680951945247
"Shewanella1",0.063,0.299,0.83,0.967272727272727,"zinb","Shewanella","ns",0.0144510571991957,56,0,"seroconv",0.243243243243243,0.00241775875529992
"Chryseobacterium1",0.392,0.258,0.13,0.91,"zinb","Chryseobacterium","ns",0.0409586076789064,56,0,"seroconv",0.240786240786241,0.0011677420102177
"Cloacibacterium1",0.107,0.282,0.71,0.967272727272727,"zinb","Cloacibacterium","ns",0.0144510571991957,56,0,"seroconv",0.265356265356265,0.00273236227433905
"Rheinheimera1",-0.044,0.261,0.87,0.967272727272727,"zinb","Rheinheimera","ns",0.0144510571991957,56,0,"seroconv",0.336609336609337,0.00247220407699998
"Exiguobacterium1",0.024,0.299,0.94,0.967272727272727,"zinb","Exiguobacterium","ns",0.0144510571991957,56,0,"seroconv",0.336609336609337,0.00456203151256413
"Actinomyces1",0.712,0.33,0.032,0.597333333333333,"zinb","Actinomyces","ns",0.223783249393556,56,0,"seroconv",0.223587223587224,0.00330104838018707
"Alishewanella1",-0.266,0.244,0.28,0.967272727272727,"zinb","Alishewanella","ns",0.0144510571991957,56,0,"seroconv",0.390663390663391,0.00359084017089311
"Brachybacterium1",-0.058,0.251,0.82,0.967272727272727,"zinb","Brachybacterium","ns",0.0144510571991957,56,0,"seroconv",0.385749385749386,0.00221518861170944
"Rubellimicrobium1",0.178,0.231,0.44,0.967272727272727,"zinb","Rubellimicrobium","ns",0.0144510571991957,56,0,"seroconv",0.334152334152334,0.00377331022786493
"Brevundimonas1",0.426,0.266,0.11,0.88,"zinb","Brevundimonas","ns",0.0555173278498314,56,0,"seroconv",0.292383292383292,0.00263310963158508
"Stenotrophomonas1",-0.577,0.261,0.028,0.597333333333333,"zinb","Stenotrophomonas","ns",0.223783249393556,56,0,"seroconv",0.267813267813268,0.00176755648271629
"Geobacillus1",-0.601,0.275,0.03,0.597333333333333,"zinb","Geobacillus","ns",0.223783249393556,56,0,"seroconv",0.255528255528256,0.00311514629195092
"Bergeyella1",0.489,0.282,0.084,0.784,"zinb","Bergeyella","ns",0.105683937315561,56,0,"seroconv",0.233415233415233,0.00190905155788717
"Moraxella1",-0.103,0.3,0.73,0.967272727272727,"zinb","Moraxella","ns",0.0144510571991957,56,0,"seroconv",0.245700245700246,0.00186193195858658
"Neisseria1",-0.074,0.341,0.83,0.967272727272727,"zinb","Neisseria","ns",0.0144510571991957,56,0,"seroconv",0.206388206388206,0.00143876530486808
"Saccharopolyspora1",-0.056,0.3,0.85,0.967272727272727,"zinb","Saccharopolyspora","ns",0.0144510571991957,56,0,"seroconv",0.319410319410319,0.00196084748575086
"Anaerococcus1",-0.333,0.264,0.21,0.967272727272727,"zinb","Anaerococcus","ns",0.0144510571991957,56,0,"seroconv",0.292383292383292,0.00244493276833335
"Comamonas1",-0.234,0.245,0.34,0.967272727272727,"zinb","Comamonas","ns",0.0144510571991957,56,0,"seroconv",0.348894348894349,0.00220460398034473
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium1",-0.056,0.276,0.84,0.967272727272727,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ns",0.0144510571991957,56,0,"seroconv",0.27027027027027,0.0013312153887434
"Qipengyuania1",0.523,0.289,0.072,0.784,"zinb","Qipengyuania","ns",0.105683937315561,56,0,"seroconv",0.226044226044226,0.00154480401289153
"Brevibacterium1",0.012,0.318,0.97,0.97,"zinb","Brevibacterium","ns",0.0132282657337552,56,0,"seroconv",0.221130221130221,0.0010202772547938
"Ornithinimicrobium1",0.257,0.226,0.26,0.967272727272727,"zinb","Ornithinimicrobium","ns",0.0144510571991957,56,0,"seroconv",0.361179361179361,0.00171561263290504
"Deinococcus1",0.296,0.351,0.4,0.967272727272727,"zinb","Deinococcus","ns",0.0144510571991957,56,0,"seroconv",0.238329238329238,0.00191848374449399
"Novosphingobium1",-0.028,0.304,0.93,0.967272727272727,"zinb","Novosphingobium","ns",0.0144510571991957,56,0,"seroconv",0.203931203931204,0.0010758726203455
"unassigned1",0.035,0.243,0.89,0.967272727272727,"zinb","unassigned","ns",0.0144510571991957,56,0,"seroconv",0.257985257985258,0.000257843392968694
"Sphingomonas1",-0.167,0.237,0.48,0.967272727272727,"zinb","Sphingomonas","ns",0.0144510571991957,56,0,"seroconv",0.395577395577396,0.00345169465655792
"Bifidobacterium2",-0.066,0.047,0.16,0.96,"zinb","Bifidobacterium","ns",0.0177287669604316,56,0,"IgA",0.884520884520885,0.0293019611791056
"Streptococcus2",0.025,0.024,0.28,0.96,"nb","Streptococcus","ns",0.0177287669604316,56,0,"IgA",0.99017199017199,0.343528102016591
"Staphylococcus2",0.004,0.03,0.9,0.99,"nb","Staphylococcus","ns",0.00436480540245009,56,0,"IgA",0.977886977886978,0.193733125003598
"Veillonella2",-0.021,0.055,0.71,0.99,"zinb","Veillonella","ns",0.00436480540245009,56,0,"IgA",0.574938574938575,0.0397571732007314
"Lactobacillus2",-0.053,0.078,0.49,0.99,"zinb","Lactobacillus","ns",0.00436480540245009,56,0,"IgA",0.28992628992629,0.00638245704506519
"Collinsella2",0.117,0.073,0.11,0.96,"zinb","Collinsella","ns",0.0177287669604316,56,0,"IgA",0.275184275184275,0.00264442021262995
"Haemophilus2",0.054,0.08,0.5,0.99,"zinb","Haemophilus","ns",0.00436480540245009,56,0,"IgA",0.282555282555283,0.00342050633408531
"Klebsiella2",-0.087,0.07,0.21,0.96,"zinb","Klebsiella","ns",0.0177287669604316,56,0,"IgA",0.398034398034398,0.0049400355388829
"Enterococcus2",-0.083,0.085,0.33,0.96,"zinb","Enterococcus","ns",0.0177287669604316,56,0,"IgA",0.235872235872236,0.00250654250540384
"Rothia2",-0.042,0.044,0.34,0.96,"zinb","Rothia","ns",0.0177287669604316,56,0,"IgA",0.744471744471744,0.0248646463434843
"Gemella2",0.015,0.045,0.75,0.99,"zinb","Gemella","ns",0.00436480540245009,56,0,"IgA",0.515970515970516,0.0142060874629519
"Bacillus2",0.016,0.071,0.83,0.99,"zinb","Bacillus","ns",0.00436480540245009,56,0,"IgA",0.292383292383292,0.00244668258949716
"Pseudomonas2",-0.065,0.041,0.12,0.96,"zinb","Pseudomonas","ns",0.0177287669604316,56,0,"IgA",0.916461916461916,0.0268819873199749
"Cutibacterium2",-0.015,0.051,0.77,0.99,"zinb","Cutibacterium","ns",0.00436480540245009,56,0,"IgA",0.813267813267813,0.011026833883184
"Enterobacter2",-0.108,0.087,0.22,0.96,"zinb","Enterobacter","ns",0.0177287669604316,56,0,"IgA",0.221130221130221,0.00114387809649315
"Acinetobacter2",-0.001,0.039,0.98,0.99,"nb","Acinetobacter","ns",0.00436480540245009,56,0,"IgA",0.97051597051597,0.0741282564024296
"Enhydrobacter2",0.009,0.064,0.88,0.99,"zinb","Enhydrobacter","ns",0.00436480540245009,56,0,"IgA",0.624078624078624,0.00786453979767169
"Corynebacterium_12",0,0.039,0.99,0.99,"nb","Corynebacterium_1","ns",0.00436480540245009,56,0,"IgA",0.955773955773956,0.0762734232998747
"Hydrogenophilus2",0.048,0.064,0.45,0.99,"zinb","Hydrogenophilus","ns",0.00436480540245009,56,0,"IgA",0.525798525798526,0.00841377304886366
"Bradyrhizobium2",0.003,0.085,0.97,0.99,"zinb","Bradyrhizobium","ns",0.00436480540245009,56,0,"IgA",0.233415233415233,0.00806556072503657
"Blautia2",-0.117,0.075,0.12,0.96,"zinb","Blautia","ns",0.0177287669604316,56,0,"IgA",0.218673218673219,0.00103716539604716
"Dermacoccus2",0.019,0.083,0.82,0.99,"zinb","Dermacoccus","ns",0.00436480540245009,56,0,"IgA",0.201474201474201,0.00320958408088524
"Paracoccus2",-0.059,0.044,0.18,0.96,"zinb","Paracoccus","ns",0.0177287669604316,56,0,"IgA",0.852579852579853,0.0203612788489398
"Granulicatella2",-0.005,0.06,0.94,0.99,"zinb","Granulicatella","ns",0.00436480540245009,56,0,"IgA",0.314496314496314,0.00368205584585756
"Micrococcus2",-0.051,0.05,0.31,0.96,"zinb","Micrococcus","ns",0.0177287669604316,56,0,"IgA",0.742014742014742,0.010223919164298
"Kocuria2",-0.023,0.058,0.7,0.99,"zinb","Kocuria","ns",0.00436480540245009,56,0,"IgA",0.651105651105651,0.00876920645910865
"S312",-0.055,0.064,0.39,0.99,"zinb","S31","ns",0.00436480540245009,56,0,"IgA",0.434889434889435,0.00534729270515271
"Janibacter2",0.015,0.061,0.81,0.99,"zinb","Janibacter","ns",0.00436480540245009,56,0,"IgA",0.341523341523342,0.00246000724674681
"Aeromonas2",-0.033,0.07,0.64,0.99,"zinb","Aeromonas","ns",0.00436480540245009,56,0,"IgA",0.474201474201474,0.0043284535421585
"Aerococcus2",-0.01,0.082,0.9,0.99,"zinb","Aerococcus","ns",0.00436480540245009,56,0,"IgA",0.240786240786241,0.00116680951945247
"Shewanella2",0.075,0.079,0.35,0.96,"zinb","Shewanella","ns",0.0177287669604316,56,0,"IgA",0.243243243243243,0.00241775875529992
"Chryseobacterium2",-0.001,0.067,0.99,0.99,"zinb","Chryseobacterium","ns",0.00436480540245009,56,0,"IgA",0.240786240786241,0.0011677420102177
"Cloacibacterium2",-0.084,0.074,0.26,0.96,"zinb","Cloacibacterium","ns",0.0177287669604316,56,0,"IgA",0.265356265356265,0.00273236227433905
"Rheinheimera2",-0.026,0.069,0.71,0.99,"zinb","Rheinheimera","ns",0.00436480540245009,56,0,"IgA",0.336609336609337,0.00247220407699998
"Exiguobacterium2",0.083,0.09,0.36,0.96,"zinb","Exiguobacterium","ns",0.0177287669604316,56,0,"IgA",0.336609336609337,0.00456203151256413
"Actinomyces2",0.051,0.089,0.56,0.99,"zinb","Actinomyces","ns",0.00436480540245009,56,0,"IgA",0.223587223587224,0.00330104838018707
"Alishewanella2",-0.017,0.064,0.79,0.99,"zinb","Alishewanella","ns",0.00436480540245009,56,0,"IgA",0.390663390663391,0.00359084017089311
"Brachybacterium2",-0.024,0.065,0.71,0.99,"zinb","Brachybacterium","ns",0.00436480540245009,56,0,"IgA",0.385749385749386,0.00221518861170944
"Rubellimicrobium2",-0.008,0.061,0.89,0.99,"zinb","Rubellimicrobium","ns",0.00436480540245009,56,0,"IgA",0.334152334152334,0.00377331022786493
"Brevundimonas2",0.029,0.071,0.69,0.99,"zinb","Brevundimonas","ns",0.00436480540245009,56,0,"IgA",0.292383292383292,0.00263310963158508
"Stenotrophomonas2",-0.037,0.068,0.59,0.99,"zinb","Stenotrophomonas","ns",0.00436480540245009,56,0,"IgA",0.267813267813268,0.00176755648271629
"Geobacillus2",-0.079,0.07,0.26,0.96,"zinb","Geobacillus","ns",0.0177287669604316,56,0,"IgA",0.255528255528256,0.00311514629195092
"Bergeyella2",-0.008,0.076,0.92,0.99,"zinb","Bergeyella","ns",0.00436480540245009,56,0,"IgA",0.233415233415233,0.00190905155788717
"Moraxella2",-0.011,0.074,0.88,0.99,"zinb","Moraxella","ns",0.00436480540245009,56,0,"IgA",0.245700245700246,0.00186193195858658
"Neisseria2",-0.198,0.086,0.022,0.96,"zinb","Neisseria","ns",0.0177287669604316,56,0,"IgA",0.206388206388206,0.00143876530486808
"Saccharopolyspora2",-0.032,0.074,0.66,0.99,"zinb","Saccharopolyspora","ns",0.00436480540245009,56,0,"IgA",0.319410319410319,0.00196084748575086
"Anaerococcus2",-0.018,0.066,0.79,0.99,"zinb","Anaerococcus","ns",0.00436480540245009,56,0,"IgA",0.292383292383292,0.00244493276833335
"Comamonas2",-0.075,0.065,0.25,0.96,"zinb","Comamonas","ns",0.0177287669604316,56,0,"IgA",0.348894348894349,0.00220460398034473
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium2",-0.137,0.067,0.042,0.96,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ns",0.0177287669604316,56,0,"IgA",0.27027027027027,0.0013312153887434
"Qipengyuania2",-0.005,0.079,0.95,0.99,"zinb","Qipengyuania","ns",0.00436480540245009,56,0,"IgA",0.226044226044226,0.00154480401289153
"Brevibacterium2",0.074,0.079,0.35,0.96,"zinb","Brevibacterium","ns",0.0177287669604316,56,0,"IgA",0.221130221130221,0.0010202772547938
"Ornithinimicrobium2",-0.107,0.058,0.066,0.96,"zinb","Ornithinimicrobium","ns",0.0177287669604316,56,0,"IgA",0.361179361179361,0.00171561263290504
"Deinococcus2",0.106,0.079,0.18,0.96,"zinb","Deinococcus","ns",0.0177287669604316,56,0,"IgA",0.238329238329238,0.00191848374449399
"Novosphingobium2",-0.011,0.078,0.89,0.99,"zinb","Novosphingobium","ns",0.00436480540245009,56,0,"IgA",0.203931203931204,0.0010758726203455
"unassigned2",-0.034,0.064,0.6,0.99,"zinb","unassigned","ns",0.00436480540245009,56,0,"IgA",0.257985257985258,0.000257843392968694
"Sphingomonas2",0.03,0.06,0.62,0.99,"zinb","Sphingomonas","ns",0.00436480540245009,56,0,"IgA",0.395577395577396,0.00345169465655792
