"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B10.F41",0.3673,0.3673,199,0.2865,0.228639244541091,50,"module2"
"B10.F51",0.3858,0.3858,199,0.1585,0.175789048086767,50,"module2"
"B11.F11",0.2869,0.2869,199,0.4923,0.491397473275024,50,"module2"
"B11.F21",0.2648,0.2648,200,0.5485,0.537965251431583,49,"module2"
"B11.F31",0.337,0.337,199,0.3285,0.256035069651898,50,"module2"
"B11.F41",0.3088,0.3088,199,0.4749,0.481430716317274,50,"module2"
"B11.F51",0.4417,0.4417,199,0.0663,0.0496249478412552,50,"module2"
"B12.F11",0.3568,0.3568,199,0.3071,0.307462247615405,50,"module2"
"B12.F21",0.3248,0.3248,199,0.2998,0.256549573962432,50,"module2"
"B12.F31",0.3023,0.3023,200,0.4652,0.392666624073601,49,"module2"
"B12.F41",0.3454,0.3454,199,0.2944,0.247662759187369,50,"module2"
"B12.F51",0.2995,0.2995,199,0.3667,0.304611901903619,50,"module2"
"B13.F11",0.3162,0.3162,199,0.4145,0.372091294196121,50,"module2"
"B13.F21",0.2897,0.2897,200,0.3907,0.378988347126389,49,"module2"
"B13.F31",0.3693,0.3693,199,0.2335,0.246197834022283,50,"module2"
"B13.F41",0.3043,0.3043,199,0.4385,0.440865409243207,50,"module2"
"B13.F51",0.3613,0.3613,199,0.3045,0.282088667037667,50,"module2"
"B14.F11",0.3918,0.3918,199,0.135,0.120682415143419,50,"module2"
"B14.F21",0.32,0.32,199,0.329,0.316409629602766,50,"module2"
"B14.F31",0.2802,0.2802,199,0.471,0.418092961193129,50,"module2"
"B14.F41",0.312,0.312,199,0.4087,0.336273414056072,50,"module2"
"B14.F51",0.3522,0.3522,200,0.248,0.258691853945769,49,"module2"
"B15.F11",0.2948,0.2948,199,0.4648,0.449774972666171,50,"module2"
"B15.F21",0.2871,0.2871,199,0.4387,0.429611353786507,50,"module2"
"B15.F31",0.3256,0.3256,200,0.381,0.315724950114767,49,"module2"
"B15.F41",0.2873,0.2873,199,0.4833,0.476615360092255,50,"module2"
"B15.F51",0.4491,0.4491,199,0.1392,0.152311993116035,50,"module2"
"B16.F11",0.2611,0.2611,199,0.4878,0.318177505871625,50,"module2"
"B16.F21",0.3222,0.3222,199,0.3657,0.415611518724289,50,"module2"
"B16.F31",0.3959,0.3959,199,0.2386,0.2209909179428,50,"module2"
"B16.F41",0.3394,0.3394,200,0.3025,0.296842870685793,49,"module2"
"B16.F51",0.3171,0.3171,199,0.3194,0.266675670412361,50,"module2"
"B17.F11",0.3934,0.3934,199,0.1876,0.157787242442117,50,"module2"
"B17.F21",0.2746,0.2746,199,0.5024,0.448837027805489,50,"module2"
"B17.F31",0.3338,0.3338,200,0.3424,0.31231543139904,49,"module2"
"B17.F41",0.3393,0.3393,199,0.3107,0.296654047477577,50,"module2"
"B17.F51",0.3225,0.3225,199,0.3217,0.296968244151918,50,"module2"
"B18.F11",0.3943,0.3943,200,0.1615,0.168434860474802,49,"module2"
"B18.F21",0.2896,0.2896,199,0.4378,0.425261616334846,50,"module2"
"B18.F31",0.3419,0.3419,199,0.2912,0.227316583511302,50,"module2"
"B18.F41",0.3288,0.3288,199,0.3432,0.29799411497416,50,"module2"
"B18.F51",0.2959,0.2959,199,0.4237,0.425314494378102,50,"module2"
"B19.F11",0.3176,0.3176,199,0.3284,0.300224680925761,50,"module2"
"B19.F21",0.3284,0.3284,200,0.343,0.371227350631522,49,"module2"
"B19.F31",0.2604,0.2604,199,0.5364,0.45881375863938,50,"module2"
"B19.F41",0.3913,0.3913,199,0.1926,0.162789671119062,50,"module2"
"B19.F51",0.3431,0.3431,199,0.2921,0.272553897789845,50,"module2"
"B20.F11",0.2634,0.2634,199,0.5249,0.487883738354751,50,"module2"
"B20.F21",0.3136,0.3136,199,0.359,0.343836007130125,50,"module2"
"B20.F31",0.3351,0.3351,200,0.3444,0.372355475182923,49,"module2"
"B20.F41",0.3387,0.3387,199,0.3475,0.350234399098745,50,"module2"
"B20.F51",0.3865,0.3865,199,0.2172,0.224367547972533,50,"module2"
"B1.F12",0.0442,0.0442,199,0.0268,0.0112931127118539,50,"module3"
"B1.F22",0.0132,0.0132,199,0.0013,0.00128167233855079,50,"module3"
"B1.F32",1e-04,1e-04,199,0.1697,0.145398534900622,50,"module3"
"B1.F42",0.0056,0.0056,199,0.0119,0.0277591319642114,50,"module3"
"B1.F52",0.0144,0.0144,200,0.1087,0.0951896988705171,49,"module3"
"B2.F12",0.0011,0.0011,199,0.0065,0.00742984477694266,50,"module3"
"B2.F22",0.0106,0.0106,199,0.0041,0.00184375122286384,50,"module3"
"B2.F32",0.0098,0.0098,200,0.015,0.0105520112733794,49,"module3"
"B2.F42",0.0419,0.0419,199,0.0454,0.0621431117901706,50,"module3"
"B2.F52",0.0012,0.0012,199,0.1023,0.0977361218657737,50,"module3"
"B3.F12",0.001,0.001,199,0.0056,0.00429527639453875,50,"module3"
"B3.F22",0.0023,0.0023,199,0.0084,0.00895471839529463,50,"module3"
"B3.F32",0.0084,0.0084,199,4e-04,0.000311424261538205,50,"module3"
"B3.F42",0.0055,0.0055,199,0.0261,0.0165993919657759,50,"module3"
"B3.F52",0.022,0.022,200,0.0014,1.58825298437017e-05,49,"module3"
"B4.F12",0.002,0.002,199,4e-04,3.05784871729894e-05,50,"module3"
"B4.F22",2e-04,2e-04,199,0.0034,0.000841613032433728,50,"module3"
"B4.F32",0.0013,0.0013,200,0.021,0.00604799672482233,49,"module3"
"B4.F42",0.0233,0.0233,199,0.0466,0.00994772630527432,50,"module3"
"B4.F52",0.0143,0.0143,199,0.0294,0.0311320069226283,50,"module3"
"B5.F12",0.0093,0.0093,199,0.014,0.014321705033852,50,"module3"
"B5.F22",0.001,0.001,200,0.0194,0.0113609437850425,49,"module3"
"B5.F32",0.0338,0.0338,199,0.018,0.0164706782064255,50,"module3"
"B5.F42",0.0053,0.0053,199,0.0098,0.0135515503326854,50,"module3"
"B5.F52",0.0035,0.0035,199,0.0239,0.0337487076215183,50,"module3"
"B6.F12",1e-04,1e-04,200,0.018,0.0133798440724604,49,"module3"
"B6.F22",3e-04,3e-04,199,0.0224,0.0105894723795881,50,"module3"
"B6.F32",0.0069,0.0069,199,3e-04,0.00283181130457496,50,"module3"
"B6.F42",0.0795,0.0795,199,0.0811,0.0793458271442525,50,"module3"
"B6.F52",2e-04,2e-04,199,0.0046,0.0117275285312242,50,"module3"
"B7.F12",0.0133,0.0133,199,0.0255,0.0165770418440658,50,"module3"
"B7.F22",0.0038,0.0038,200,0.0226,0.0111911341191529,49,"module3"
"B7.F32",0.0208,0.0208,199,0.0051,0.00606504705323775,50,"module3"
"B7.F42",0.0508,0.0508,199,0.0195,0.00880342677806523,50,"module3"
"B7.F52",0.0041,0.0041,199,0.0012,0.000258272539043099,50,"module3"
"B8.F12",0.0027,0.0027,200,0.0131,0.00905363657209564,49,"module3"
"B8.F22",0.0194,0.0194,199,0.016,0.010025949768025,50,"module3"
"B8.F32",5e-04,5e-04,199,0.0021,0.000827537931599153,50,"module3"
"B8.F42",2e-04,2e-04,199,0.0038,0.000219643887644842,50,"module3"
"B8.F52",0.0263,0.0263,199,0.0013,0.000973842664322699,50,"module3"
"B9.F12",0.0255,0.0255,200,0.0077,0.00498784729497549,49,"module3"
"B9.F22",0.008,0.008,199,0.006,0.00223186301937803,50,"module3"
"B9.F32",0.0085,0.0085,199,0.0152,0.0222843820208843,50,"module3"
"B9.F42",0.0024,0.0024,199,0.0312,0.0183734010721145,50,"module3"
"B9.F52",9e-04,9e-04,199,0.0669,0.0920647774960128,50,"module3"
"B10.F12",0.0089,0.0089,200,0.0015,0.000565852285755978,49,"module3"
"B10.F22",2e-04,2e-04,199,8e-04,4.28216221641253e-05,50,"module3"
"B10.F32",0.0054,0.0054,199,0.0071,0.00702810323841144,50,"module3"
"B10.F42",0.0145,0.0145,199,9e-04,0.00665941181667472,50,"module3"
"B10.F52",0.006,0.006,199,0.0226,0.00885760158425302,50,"module3"
"B11.F12",0.0049,0.0049,200,0.0373,0.0402862244897959,49,"module3"
"B11.F22",0.0052,0.0052,199,0,0.00283556770471536,50,"module3"
"B11.F32",0.0227,0.0227,199,0.0123,0.0188843353743792,50,"module3"
"B11.F42",0,0,199,0.0127,0.00609958829308604,50,"module3"
"B11.F52",0.0034,0.0034,199,3e-04,0.00210206289679473,50,"module3"
"B12.F12",0.01,0.01,199,0.0052,0.000696857682839133,50,"module3"
"B12.F22",0.0014,0.0014,199,0.007,0.00708119865769993,50,"module3"
"B12.F32",0.0091,0.0091,199,0.0017,0.000241540712519519,50,"module3"
"B12.F42",0.0088,0.0088,199,8e-04,0.00324353128619768,50,"module3"
"B12.F52",6e-04,6e-04,200,0.0227,0.00942172703690971,49,"module3"
"B13.F12",0.0032,0.0032,199,0.021,0.00707824457964785,50,"module3"
"B13.F22",1e-04,1e-04,199,0.0149,0.00921459863238418,50,"module3"
"B13.F32",0.0262,0.0262,199,0.0225,0.0102012344143853,50,"module3"
"B13.F42",3e-04,3e-04,200,0.0143,0.011295167913948,49,"module3"
"B13.F52",0.0104,0.0104,199,0,0.00118563692707283,50,"module3"
"B14.F12",0.0199,0.0199,199,0.0124,0.017859353352546,50,"module3"
"B14.F22",0.002,0.002,199,0.0031,0.00784532918506508,50,"module3"
"B14.F32",0.0023,0.0023,200,0.0129,0.00665947241705924,49,"module3"
"B14.F42",3e-04,3e-04,199,0.0607,0.0430731969943875,50,"module3"
"B14.F52",0.0384,0.0384,199,0.0393,0.0774453873790689,50,"module3"
"B15.F12",0.0111,0.0111,199,5e-04,0.00187224632901045,50,"module3"
"B15.F22",0.0117,0.0117,199,6e-04,0.000642334099376222,50,"module3"
"B15.F32",3e-04,3e-04,199,0.0157,0.00692010240151531,50,"module3"
"B15.F42",0.005,0.005,200,8e-04,0.00938693168789477,49,"module3"
"B15.F52",2e-04,2e-04,199,0,0.00152438440435489,50,"module3"
"B16.F12",0.0069,0.0069,200,0.003,0.0160774628788392,49,"module3"
"B16.F22",0.0281,0.0281,199,0,0.000203591746720318,50,"module3"
"B16.F32",3e-04,3e-04,199,0.0138,0.00934188464084016,50,"module3"
"B16.F42",0,0,199,0.0276,0.0222349734283993,50,"module3"
"B16.F52",2e-04,2e-04,199,0.0064,0.00310261131869775,50,"module3"
"B17.F12",0,0,200,0.0725,0.0815744380027901,49,"module3"
"B17.F22",7e-04,7e-04,199,0.0127,0.00834604005914848,50,"module3"
"B17.F32",0.0224,0.0224,199,0.0206,0.0229559996756178,50,"module3"
"B17.F42",0.0098,0.0098,199,0.0165,0.0146454798213445,50,"module3"
"B17.F52",7e-04,7e-04,199,0.0079,0.0145747049180422,50,"module3"
"B18.F12",0.0034,0.0034,199,0.0119,0.0240648611283014,50,"module3"
"B18.F22",0.0103,0.0103,199,0.0011,0.000967849800616477,50,"module3"
"B18.F32",0.0024,0.0024,200,0.0081,0.00459169093234354,49,"module3"
"B18.F42",7e-04,7e-04,199,0.0174,0.0241839926752245,50,"module3"
"B18.F52",0.0082,0.0082,199,0.0185,0.0222824737398567,50,"module3"
"B19.F12",0.0022,0.0022,199,0,0.000209022207903052,50,"module3"
"B19.F22",0.0021,0.0021,199,0.1139,0.192648412337309,50,"module3"
"B19.F32",0.0466,0.0466,199,0.1044,0.0935501922123642,50,"module3"
"B19.F42",0.0181,0.0181,199,0.0126,0.00290416537860504,50,"module3"
"B19.F52",2e-04,2e-04,200,0.075,0.0661671058433077,49,"module3"
"B20.F12",0.0013,0.0013,199,0.0132,0.0046605312636951,50,"module3"
"B20.F22",0.0014,0.0014,199,9e-04,0.000706335059276236,50,"module3"
"B20.F32",0.0067,0.0067,199,4e-04,0.000265436044547689,50,"module3"
"B20.F42",3e-04,3e-04,200,0.0386,0.0418170248691918,49,"module3"
"B20.F52",0.0537,0.0537,199,0.0657,0.0544527711416793,50,"module3"
"B1.F13",0.3167,0.3167,199,0.5346,0.466783321698087,50,"module4"
"B1.F23",0.3592,0.3592,199,0.3548,0.348902704556949,50,"module4"
"B1.F33",0.3416,0.3416,200,0.357,0.307165968639869,49,"module4"
"B1.F43",0.3467,0.3467,199,0.3977,0.39663076420186,50,"module4"
"B1.F53",0.3816,0.3816,199,0.2534,0.217531754842728,50,"module4"
"B2.F13",0.4184,0.4184,199,0.1934,0.181987161963768,50,"module4"
"B2.F23",0.2924,0.2924,199,0.5249,0.500310818487453,50,"module4"
"B2.F33",0.3423,0.3423,200,0.4237,0.371188755455217,49,"module4"
"B2.F43",0.3718,0.3718,199,0.3178,0.300435383388565,50,"module4"
"B2.F53",0.3489,0.3489,199,0.3791,0.304998034039726,50,"module4"
"B3.F13",0.3456,0.3456,199,0.3988,0.348992814802811,50,"module4"
"B3.F23",0.309,0.309,200,0.4876,0.455750324663471,49,"module4"
"B3.F33",0.3447,0.3447,199,0.3419,0.27295117806054,50,"module4"
"B3.F43",0.3932,0.3932,199,0.3329,0.330045302194863,50,"module4"
"B3.F53",0.3369,0.3369,199,0.3205,0.319613505794173,50,"module4"
"B4.F13",0.3657,0.3657,200,0.3016,0.251829143566448,49,"module4"
"B4.F23",0.3417,0.3417,199,0.4607,0.404503338819278,50,"module4"
"B4.F33",0.3322,0.3322,199,0.4385,0.363815086236369,50,"module4"
"B4.F43",0.3704,0.3704,199,0.2997,0.223171508265186,50,"module4"
"B4.F53",0.3428,0.3428,199,0.3063,0.292598745877021,50,"module4"
"B5.F13",0.3822,0.3822,199,0.2426,0.229682718674643,50,"module4"
"B5.F23",0.37,0.37,200,0.3144,0.262528778739673,49,"module4"
"B5.F33",0.3877,0.3877,199,0.3282,0.280799659529209,50,"module4"
"B5.F43",0.2798,0.2798,199,0.5786,0.514297687906331,50,"module4"
"B5.F53",0.3289,0.3289,199,0.3821,0.336645212973491,50,"module4"
"B6.F13",0.3311,0.3311,199,0.42,0.336492230369781,50,"module4"
"B6.F23",0.3619,0.3619,199,0.3382,0.320800015595745,50,"module4"
"B6.F33",0.3702,0.3702,199,0.3245,0.282177180028464,50,"module4"
"B6.F43",0.321,0.321,200,0.4516,0.446315729371831,49,"module4"
"B6.F53",0.3441,0.3441,199,0.3232,0.320355700826764,50,"module4"
"B7.F13",0.359,0.359,199,0.3218,0.354376668559522,50,"module4"
"B7.F23",0.2775,0.2775,199,0.5888,0.549443231654594,50,"module4"
"B7.F33",0.372,0.372,200,0.3939,0.413873180450304,49,"module4"
"B7.F43",0.3922,0.3922,199,0.2528,0.213885563460593,50,"module4"
"B7.F53",0.3444,0.3444,199,0.3555,0.264913435371747,50,"module4"
"B8.F13",0.3347,0.3347,199,0.4308,0.369222608476492,50,"module4"
"B8.F23",0.3687,0.3687,200,0.2303,0.223639518269034,49,"module4"
"B8.F33",0.3644,0.3644,199,0.2958,0.280726731830967,50,"module4"
"B8.F43",0.3414,0.3414,199,0.4214,0.321439553556176,50,"module4"
"B8.F53",0.3439,0.3439,199,0.2943,0.364394871142401,50,"module4"
"B9.F13",0.3607,0.3607,199,0.3629,0.296768400111439,50,"module4"
"B9.F23",0.3194,0.3194,199,0.5017,0.482662904527348,50,"module4"
"B9.F33",0.3897,0.3897,199,0.3077,0.268145969732573,50,"module4"
"B9.F43",0.2883,0.2883,199,0.5102,0.513955418727664,50,"module4"
"B9.F53",0.399,0.399,200,0.2281,0.240487199996658,49,"module4"
"B10.F13",0.3276,0.3276,200,0.4304,0.369371172166517,49,"module4"
"B10.F23",0.3148,0.3148,199,0.4879,0.437696571623016,50,"module4"
"B10.F33",0.3978,0.3978,199,0.2375,0.189948612065532,50,"module4"
"B10.F43",0.3802,0.3802,199,0.2505,0.245419643181948,50,"module4"
"B10.F53",0.3455,0.3455,199,0.3813,0.379696526884624,50,"module4"
"B11.F13",0.3509,0.3509,199,0.4049,0.310840471733034,50,"module4"
"B11.F23",0.3375,0.3375,199,0.4119,0.361489768835525,50,"module4"
"B11.F33",0.2878,0.2878,199,0.4882,0.486140339913904,50,"module4"
"B11.F43",0.3724,0.3724,199,0.344,0.314127946127946,50,"module4"
"B11.F53",0.3924,0.3924,200,0.3224,0.280837753848981,49,"module4"
