"","Genus","Platform","Prevalence","Abundance","rho","p"
"104","Enterobacter","Metagenome",89.1,0.552568302770766,NA,NA
"105","Acinetobacter","Metagenome",66.3,0.0960688824344919,NA,NA
"106","Dialister","Metagenome",46.6,0.021517505377237,NA,NA
"107","Megamonas","Metagenome",53.7,0.0878103026099059,NA,NA
"108","Senegalimassilia","Metagenome",0,0,NA,NA
"109","Sutterella","Metagenome",32.3,0.100562500247459,NA,NA
"110","Lachnoclostridium","Metagenome",41.3,0.0317979042542443,NA,NA
"111","Salmonella","Metagenome",90.6,0.0476905793411237,NA,NA
"112","unassigned_Enterobacteriaceae","Metagenome",0,0,NA,NA
"113","Faecalibacterium","Metagenome",91.2,0.169680095864739,NA,NA
"114","Haemophilus","Metagenome",76.2,0.0934395650521588,NA,NA
"115","Olsenella","Metagenome",41.6,0.0396051874973002,NA,NA
"116","Clostridioides","Metagenome",74.8,0.0368646468082414,NA,NA
"117","Flavonifractor","Metagenome",58.7,0.116788177213043,NA,NA
"118","Actinomyces","Metagenome",46,0.0257814106597306,NA,NA
"119","Morganella","Metagenome",41.1,0.0359660346254923,NA,NA
"120","Lactococcus","Metagenome",51.9,0.0355535247964276,NA,NA
"121","Eggerthella","Metagenome",54.5,0.0475539287967884,NA,NA
"122","Proteus","Metagenome",27,0.0509932747143659,NA,NA
"123","Alistipes","Metagenome",36.1,0.0756906249688441,NA,NA
"124","Erysipelatoclostridium","Metagenome",62.8,0.0876871163800686,NA,NA
"125","Atopobium","Metagenome",0,0,NA,NA
"126","Phascolarctobacterium","Metagenome",43.4,0.00591566959053494,NA,NA
"127","Eubacterium","Metagenome",59.5,0.023138499511483,NA,NA
"128","Cutibacterium","Metagenome",47.5,0.0683857982299856,NA,NA
"129","Gemella","Metagenome",92.4,0.00942184380982177,NA,NA
"130","Citrobacter","Metagenome",86.8,0.0698124267413102,NA,NA
"131","Corynebacterium","Metagenome",71,0.00708941143047604,NA,NA
"132","Blautia","Metagenome",84.5,0.0408665381907434,NA,NA
"133","Peptoniphilus","Metagenome",71,0.0036543105657047,NA,NA
"134","Dolosigranulum","Metagenome",0,0,NA,NA
"135","Finegoldia","Metagenome",82.4,0.00618099274317554,NA,NA
"136","Anaerococcus","Metagenome",0,0,NA,NA
"137","Cronobacter","Metagenome",39,0.00788748135506182,NA,NA
"138","Dermabacter","Metagenome",30.8,0.0032844548813675,NA,NA
"139","Weissella","Metagenome",27.9,0.00111342434348909,NA,NA
"140","Stenotrophomonas","Metagenome",47.5,0.00367263077532627,NA,NA
"141","Pseudomonas","Metagenome",56.3,0.00385031932586102,NA,NA
"142","Kocuria","Metagenome",41.9,0.000937093680010784,NA,NA
"143","Micrococcus","Metagenome",39.3,0.00158898063773263,NA,NA
"144","Phocaeicola","Metagenome",59.2,1.26264515745321,NA,NA
"145","Mediterraneibacter","Metagenome",67.7,0.890806595900727,NA,NA
"146","Limosilactobacillus","Metagenome",78,0.347964737377537,NA,NA
"147","Ligilactobacillus","Metagenome",80.6,0.271092093715517,NA,NA
"148","Enterocloster","Metagenome",55.7,0.146706007660192,NA,NA
"149","Acidaminococcus","Metagenome",47.8,0.0915323827102691,NA,NA
"150","Ruthenibacterium","Metagenome",35.8,0.0733015721609889,NA,NA
"151","Lacticaseibacillus","Metagenome",62.5,0.0635296967232041,NA,NA
"152","Parolsenella","Metagenome",54.3,0.0500284632565965,NA,NA
"153","Lactiplantibacillus","Metagenome",57.5,0.0296589001869181,NA,NA
"154","Anaerostipes","Metagenome",70.1,0.0295594661209815,NA,NA
"155","Odoribacter","Metagenome",34.6,0.0235024486647082,NA,NA
"156","Coprococcus","Metagenome",58.4,0.0167691161866009,NA,NA
"157","Roseburia","Metagenome",60.4,0.0162120049902877,NA,NA
"158","Schaalia","Metagenome",76.8,0.0139140224948963,NA,NA
"159","Gordonibacter","Metagenome",46,0.0112150934245095,NA,NA
"160","Lancefieldella","Metagenome",38.4,0.0083662599202294,NA,NA
"161","Anaerobutyricum","Metagenome",46.6,0.00812967644255468,NA,NA
"162","Butyricimonas","Metagenome",31.4,0.00809354270044973,NA,NA
"163","Oscillibacter","Metagenome",33.4,0.00639846305030283,NA,NA
"164","Moraxella","Metagenome",50.7,0.00574091613592275,NA,NA
"165","Faecalicatena","Metagenome",39.6,0.00314622501367958,NA,NA
"166","Parafannyhessea","Metagenome",56.6,0.00302495475905231,NA,NA
"167","Filifactor","Metagenome",27,0.00237044943609637,NA,NA
"168","Intestinimonas","Metagenome",40.2,0.0023352213929783,NA,NA
"169","Lacrimispora","Metagenome",37.5,0.0021531530489188,NA,NA
"170","Lachnospira","Metagenome",32.8,0.00187760074238425,NA,NA
"171","Leclercia","Metagenome",41.6,0.00180225075696044,NA,NA
"172","Kluyvera","Metagenome",28.4,0.00155312033013847,NA,NA
