"","Estimate","Std.Error","pvalue","method","taxon","padj","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Veillonella2",-0.015,0.067,0.83,"zinb","Veillonella",0.949565217391304,"ns",0.0224752019848933,26,0,"IgA",0.856,0.0702366098800902
"Lactobacillus2",-0.181,0.055,0.0014,"zinb","Lactobacillus",0.0364,"negatively correlated",1.43889861635094,26,0,"IgA",0.6272,0.0368535241662337
"Collinsella2",-0.116,0.084,0.17,"zinb","Collinsella",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.2768,0.0185948451181206
"Haemophilus2",0.121,0.158,0.44,"zinb","Haemophilus",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.3488,0.00189345227274898
"Klebsiella2",0.004,0.065,0.96,"zinb","Klebsiella",0.99,"ns",0.00436480540245009,26,0,"IgA",0.8704,0.0511635280430633
"Enterococcus2",-0.02,0.099,0.84,"zinb","Enterococcus",0.949565217391304,"ns",0.0224752019848933,26,0,"IgA",0.7568,0.0268346192701237
"Rothia2",0.075,0.055,0.18,"zinb","Rothia",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.7776,0.00261028301073141
"unassigned_Lachnospiraceae2",-0.021,0.089,0.81,"zinb","unassigned_Lachnospiraceae",0.949565217391304,"ns",0.0224752019848933,26,0,"IgA",0.272,0.00622930336348312
"Gemella2",-0.132,0.065,0.046,"zinb","Gemella",0.3575,"ns",0.446723953862901,26,0,"IgA",0.6336,0.000344693917680149
"Enterobacter2",-0.42,0.161,0.0099,"zinb","Enterobacter",0.1287,"ns",0.890421453095613,26,0,"IgA",0.4112,0.00451944222856526
"Acinetobacter2",-0.005,0.122,0.97,"zinb","Acinetobacter",0.99,"ns",0.00436480540245009,26,0,"IgA",0.256,0.000357698441152826
"Corynebacterium_12",-0.026,0.036,0.47,"zinb","Corynebacterium_1",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.6672,0.000209845717546989
"Clostridium_sensu_stricto_12",0.104,0.101,0.31,"zinb","Clostridium_sensu_stricto_1",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.3264,0.00628213005621087
"unassigned_Enterobacteriaceae2",0.08,0.102,0.43,"zinb","unassigned_Enterobacteriaceae",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.2384,0.00177289573725284
"Clostridioides2",0.069,0.079,0.38,"zinb","Clostridioides",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.224,0.0021257737994787
"Atopobium2",-0.213,0.193,0.27,"zinb","Atopobium",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.2144,0.000384650777387911
"Actinomyces2",0.337,0.175,0.055,"zinb","Actinomyces",0.3575,"ns",0.446723953862901,26,0,"IgA",0.2896,0.000815710082075175
"Finegoldia2",0.055,0.08,0.49,"zinb","Finegoldia",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.2624,2.77899167601498e-05
"Dolosigranulum2",0.096,0.102,0.35,"zinb","Dolosigranulum",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.4208,0.000131977378335613
"Anaerococcus2",0.06,0.122,0.62,"zinb","Anaerococcus",0.848421052631579,"ns",0.0713885634837571,26,0,"IgA",0.24,8.88015752182269e-05
"Peptoniphilus2",0.118,0.142,0.41,"zinb","Peptoniphilus",0.707777777777778,"ns",0.150103077103974,26,0,"IgA",0.2,0.000320388254055783
