feature_id,feature,feature_description,feature_full
p17,AST-PWY,L-arginine degradation II (AST pathway),L-arginine degradation II (AST pathway) (AST-PWY)
p18,BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I,biotin biosynthesis I (BIOTIN-BIOSYNTHESIS-PWY)
p19,BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis,superpathway of branched chain amino acid biosynthesis (BRANCHED-CHAIN-AA-SYN-PWY)
p20,CALVIN-PWY,Calvin-Benson-Bassham cycle,Calvin-Benson-Bassham cycle (CALVIN-PWY)
p21,CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to &beta;-ketoadipate,catechol degradation to beta-ketoadipate (CATECHOL-ORTHO-CLEAVAGE-PWY)
p22,CENTFERM-PWY,pyruvate fermentation to butanoate,pyruvate fermentation to butanoate (CENTFERM-PWY)
p23,CITRULBIO-PWY,L-citrulline biosynthesis,L-citrulline biosynthesis (CITRULBIO-PWY)
p24,COA-PWY-1,superpathway of coenzyme A biosynthesis III (mammals),superpathway of coenzyme A biosynthesis III (mammals) (COA-PWY-1)
p25,COA-PWY,coenzyme A biosynthesis I (prokaryotic),coenzyme A biosynthesis I (prokaryotic) (COA-PWY)
p26,COBALSYN-PWY,superpathway of adenosylcobalamin salvage from cobinamide I,superpathway of adenosylcobalamin salvage from cobinamide I (COBALSYN-PWY)
p27,COLANSYN-PWY,colanic acid building blocks biosynthesis,colanic acid building blocks biosynthesis (COLANSYN-PWY)
p28,COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis,superpathway of aromatic amino acid biosynthesis (COMPLETE-ARO-PWY)
p29,CRNFORCAT-PWY,creatinine degradation I,creatinine degradation I (CRNFORCAT-PWY)
p30,DAPLYSINESYN-PWY,L-lysine biosynthesis I,L-lysine biosynthesis I (DAPLYSINESYN-PWY)
p31,DENITRIFICATION-PWY,nitrate reduction I (denitrification),nitrate reduction I (denitrification) (DENITRIFICATION-PWY)
p32,DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,superpathway of purine nucleotides de novo biosynthesis II (DENOVOPURINE2-PWY)
p33,DHGLUCONATE-PYR-CAT-PWY,glucose degradation (oxidative),glucose degradation (oxidative) (DHGLUCONATE-PYR-CAT-PWY)
p34,DTDPRHAMSYN-PWY,dTDP-&beta;-L-rhamnose biosynthesis,dTDP-beta-L-rhamnose biosynthesis (DTDPRHAMSYN-PWY)
p35,ECASYN-PWY,enterobacterial common antigen biosynthesis,enterobacterial common antigen biosynthesis (ECASYN-PWY)
p36,FAO-PWY,fatty acid &beta;-oxidation I (generic),fatty acid beta-oxidation I (generic) (FAO-PWY)
p37,FASYN-ELONG-PWY,fatty acid elongation -- saturated,fatty acid elongation -- saturated (FASYN-ELONG-PWY)
p38,FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation (E. coli),superpathway of fatty acid biosynthesis initiation (E. coli) (FASYN-INITIAL-PWY)
p39,FERMENTATION-PWY,mixed acid fermentation,mixed acid fermentation (FERMENTATION-PWY)
p40,FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage,superpathway of tetrahydrofolate biosynthesis and salvage (FOLSYN-PWY)
p41,FUC-RHAMCAT-PWY,superpathway of fucose and rhamnose degradation,superpathway of fucose and rhamnose degradation (FUC-RHAMCAT-PWY)
p42,FUCCAT-PWY,fucose degradation,fucose degradation (FUCCAT-PWY)
p43,GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation,superpathway of hexuronide and hexuronate degradation (GALACT-GLUCUROCAT-PWY)
p44,GALACTARDEG-PWY,D-galactarate degradation I,D-galactarate degradation I (GALACTARDEG-PWY)
p45,GALACTUROCAT-PWY,D-galacturonate degradation I,D-galacturonate degradation I (GALACTUROCAT-PWY)
p46,GLCMANNANAUT-PWY,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation (GLCMANNANAUT-PWY)"
p47,GLUCARDEG-PWY,D-glucarate degradation I,D-glucarate degradation I (GLUCARDEG-PWY)
p48,GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation,superpathway of D-glucarate and D-galactarate degradation (GLUCARGALACTSUPER-PWY)
p49,GLUCONEO-PWY,gluconeogenesis I,gluconeogenesis I (GLUCONEO-PWY)
p50,GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,glucose and glucose-1-phosphate degradation (GLUCOSE1PMETAB-PWY)
p51,GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronosides degradation,superpathway of beta-D-glucuronosides degradation (GLUCUROCAT-PWY)
p52,GLUDEG-I-PWY,GABA shunt,GABA shunt (GLUDEG-I-PWY)
p53,GLUTORN-PWY,L-ornithine biosynthesis I,L-ornithine biosynthesis I (GLUTORN-PWY)
p54,GLYCOCAT-PWY,glycogen degradation I,glycogen degradation I (GLYCOCAT-PWY)
p55,GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose),glycogen biosynthesis I (from ADP-D-Glucose) (GLYCOGENSYNTH-PWY)
p56,GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation,superpathway of glycol metabolism and degradation (GLYCOL-GLYOXDEG-PWY)
p57,GLYCOLYSIS-E-D,superpathway of glycolysis and the Entner-Doudoroff pathway,superpathway of glycolysis and the Entner-Doudoroff pathway (GLYCOLYSIS-E-D)
p58,GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass (GLYCOLYSIS-TCA-GLYOX-BYPASS)"
p59,GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),glycolysis I (from glucose 6-phosphate) (GLYCOLYSIS)
p60,GLYOXYLATE-BYPASS,glyoxylate cycle,glyoxylate cycle (GLYOXYLATE-BYPASS)
p61,GOLPDLCAT-PWY,"superpathway of glycerol degradation to 1,3-propanediol","superpathway of glycerol degradation to 1,3-propanediol (GOLPDLCAT-PWY)"
p62,HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate (HCAMHPDEG-PWY)
p63,HEME-BIOSYNTHESIS-II,heme b biosynthesis I (aerobic),heme b biosynthesis I (aerobic) (HEME-BIOSYNTHESIS-II)
p64,HEMESYN2-PWY,heme b biosynthesis II (oxygen-independent),heme b biosynthesis II (oxygen-independent) (HEMESYN2-PWY)
p65,HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria),superpathway of hexitol degradation (bacteria) (HEXITOLDEGSUPER-PWY)
p66,HISDEG-PWY,L-histidine degradation I,L-histidine degradation I (HISDEG-PWY)
p67,HISTSYN-PWY,L-histidine biosynthesis,L-histidine biosynthesis (HISTSYN-PWY)
p68,HOMOSER-METSYN-PWY,L-methionine biosynthesis I,L-methionine biosynthesis I (HOMOSER-METSYN-PWY)
p69,HSERMETANA-PWY,L-methionine biosynthesis III,L-methionine biosynthesis III (HSERMETANA-PWY)
p70,ILEUDEG-PWY,L-isoleucine degradation I,L-isoleucine degradation I (ILEUDEG-PWY)
p71,ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine),L-isoleucine biosynthesis I (from threonine) (ILEUSYN-PWY)
p72,KDO-NAGLIPASYN-PWY,superpathway of (Kdo)2-lipid A biosynthesis,superpathway of (Kdo)2-lipid A biosynthesis (KDO-NAGLIPASYN-PWY)
p73,KETOGLUCONMET-PWY,ketogluconate metabolism,ketogluconate metabolism (KETOGLUCONMET-PWY)
p74,LACTOSECAT-PWY,lactose and galactose degradation I,lactose and galactose degradation I (LACTOSECAT-PWY)
p75,LEU-DEG2-PWY,L-leucine degradation I,L-leucine degradation I (LEU-DEG2-PWY)
p76,LIPASYN-PWY,phospholipases,phospholipases (LIPASYN-PWY)
p77,LPSSYN-PWY,superpathway of lipopolysaccharide biosynthesis,superpathway of lipopolysaccharide biosynthesis (LPSSYN-PWY)
p78,MET-SAM-PWY,superpathway of S-adenosyl-L-methionine biosynthesis,superpathway of S-adenosyl-L-methionine biosynthesis (MET-SAM-PWY)
p79,METH-ACETATE-PWY,methanogenesis from acetate,methanogenesis from acetate (METH-ACETATE-PWY)
p80,METHGLYUT-PWY,superpathway of methylglyoxal degradation,superpathway of methylglyoxal degradation (METHGLYUT-PWY)
p81,METSYN-PWY,superpathway of L-homoserine and L-methionine biosynthesis,superpathway of L-homoserine and L-methionine biosynthesis (METSYN-PWY)
p82,NAD-BIOSYNTHESIS-II,NAD salvage pathway III (to nicotinamide riboside),NAD salvage pathway III (to nicotinamide riboside) (NAD-BIOSYNTHESIS-II)
p83,NAGLIPASYN-PWY,lipid IVA biosynthesis (E. coli),lipid IVA biosynthesis (E. coli) (NAGLIPASYN-PWY)
p84,NONMEVIPP-PWY,methylerythritol phosphate pathway I,methylerythritol phosphate pathway I (NONMEVIPP-PWY)
p85,NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch) I,pentose phosphate pathway (non-oxidative branch) I (NONOXIPENT-PWY)
p86,OANTIGEN-PWY,O-antigen building blocks biosynthesis (E. coli),O-antigen building blocks biosynthesis (E. coli) (OANTIGEN-PWY)
p87,ORNARGDEG-PWY,superpathway of L-arginine and L-ornithine degradation,superpathway of L-arginine and L-ornithine degradation (ORNARGDEG-PWY)
p88,ORNDEG-PWY,superpathway of ornithine degradation,superpathway of ornithine degradation (ORNDEG-PWY)
p89,P105-PWY,TCA cycle IV (2-oxoglutarate decarboxylase),TCA cycle IV (2-oxoglutarate decarboxylase) (P105-PWY)
p90,P108-PWY,pyruvate fermentation to propanoate I,pyruvate fermentation to propanoate I (P108-PWY)
p91,P122-PWY,heterolactic fermentation,heterolactic fermentation (P122-PWY)
p92,P124-PWY,Bifidobacterium shunt,Bifidobacterium shunt (P124-PWY)
p93,P125-PWY,"superpathway of (R,R)-butanediol biosynthesis","superpathway of (R,R)-butanediol biosynthesis (P125-PWY)"
p94,P161-PWY,acetylene degradation (anaerobic),acetylene degradation (anaerobic) (P161-PWY)
p95,P163-PWY,L-lysine fermentation to acetate and butanoate,L-lysine fermentation to acetate and butanoate (P163-PWY)
p96,P164-PWY,purine nucleobases degradation I (anaerobic),purine nucleobases degradation I (anaerobic) (P164-PWY)
p97,P165-PWY,superpathway of purines degradation in plants,superpathway of purines degradation in plants (P165-PWY)
p98,P185-PWY,formaldehyde assimilation III (dihydroxyacetone cycle),formaldehyde assimilation III (dihydroxyacetone cycle) (P185-PWY)
p99,P221-PWY,octane oxidation,octane oxidation (P221-PWY)
p100,P23-PWY,reductive TCA cycle I,reductive TCA cycle I (P23-PWY)
p101,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)"
p102,P42-PWY,incomplete reductive TCA cycle,incomplete reductive TCA cycle (P42-PWY)
p103,P441-PWY,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation (P441-PWY)
p104,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)"
p105,P562-PWY,myo-inositol degradation I,myo-inositol degradation I (P562-PWY)
p106,P621-PWY,nylon-6 oligomer degradation,nylon-6 oligomer degradation (P621-PWY)
p107,PANTO-PWY,phosphopantothenate biosynthesis I,phosphopantothenate biosynthesis I (PANTO-PWY)
p108,PANTOSYN-PWY,superpathway of coenzyme A biosynthesis I (bacteria),superpathway of coenzyme A biosynthesis I (bacteria) (PANTOSYN-PWY)
p109,PENTOSE-P-PWY,pentose phosphate pathway,pentose phosphate pathway (PENTOSE-P-PWY)
p110,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (meso-diaminopimelate containing),peptidoglycan biosynthesis I (meso-diaminopimelate containing) (PEPTIDOGLYCANSYN-PWY)
p111,PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis I (bacteria),superpathway of phospholipid biosynthesis I (bacteria) (PHOSLIPSYN-PWY)
p112,PHOTOALL-PWY,oxygenic photosynthesis,oxygenic photosynthesis (PHOTOALL-PWY)
p113,POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,superpathway of polyamine biosynthesis II (POLYAMINSYN3-PWY)
p114,POLYAMSYN-PWY,superpathway of polyamine biosynthesis I,superpathway of polyamine biosynthesis I (POLYAMSYN-PWY)
p115,POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (E. coli),polyisoprenoid biosynthesis (E. coli) (POLYISOPRENSYN-PWY)
p116,PPGPPMET-PWY,ppGpp metabolism,ppGpp metabolism (PPGPPMET-PWY)
p117,PROPFERM-PWY,superpathway of L-alanine fermentation (Stickland reaction),superpathway of L-alanine fermentation (Stickland reaction) (PROPFERM-PWY)
p118,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,protocatechuate degradation II (ortho-cleavage pathway),protocatechuate degradation II (ortho-cleavage pathway) (PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY)
p119,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis","superpathway of histidine, purine, and pyrimidine biosynthesis (PRPP-PWY)"
p120,PWY-101,photosynthesis light reactions,photosynthesis light reactions (PWY-101)
p121,PWY-1042,glycolysis IV,glycolysis IV (PWY-1042)
p122,PWY-1269,CMP-3-deoxy-D-manno-octulosonate biosynthesis,CMP-3-deoxy-D-manno-octulosonate biosynthesis (PWY-1269)
p123,PWY-1501,mandelate degradation I,mandelate degradation I (PWY-1501)
p124,PWY-1541,superpathway of taurine degradation,superpathway of taurine degradation (PWY-1541)
p125,PWY-1622,formaldehyde assimilation I (serine pathway),formaldehyde assimilation I (serine pathway) (PWY-1622)
p126,PWY-181,photorespiration,photorespiration (PWY-181)
p127,PWY-1861,formaldehyde assimilation II (assimilatory RuMP Cycle),formaldehyde assimilation II (assimilatory RuMP Cycle) (PWY-1861)
p128,PWY-2221,Entner-Doudoroff pathway III (semi-phosphorylative),Entner-Doudoroff pathway III (semi-phosphorylative) (PWY-2221)
p129,PWY-241,"C4 photosynthetic carbon assimilation cycle, NADP-ME type","C4 photosynthetic carbon assimilation cycle, NADP-ME type (PWY-241)"
p130,PWY-2723,trehalose degradation V,trehalose degradation V (PWY-2723)
p131,PWY-2941,L-lysine biosynthesis II,L-lysine biosynthesis II (PWY-2941)
p132,PWY-2942,L-lysine biosynthesis III,L-lysine biosynthesis III (PWY-2942)
p133,PWY-3001,superpathway of L-isoleucine biosynthesis I,superpathway of L-isoleucine biosynthesis I (PWY-3001)
p134,PWY-3781,aerobic respiration I (cytochrome c),aerobic respiration I (cytochrome c) (PWY-3781)
p135,PWY-3841,folate transformations II (plants),folate transformations II (plants) (PWY-3841)
p136,PWY-4041,&gamma;-glutamyl cycle,gamma-glutamyl cycle (PWY-4041)
p137,PWY-4242,9808.661488,no MetaCyc description (PWY-4242)
p138,PWY-4321,L-glutamate degradation IV,L-glutamate degradation IV (PWY-4321)
p139,PWY-4361,S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I (PWY-4361)
p140,PWY-4702,phytate degradation I,phytate degradation I (PWY-4702)
p141,PWY-4722,creatinine degradation II,creatinine degradation II (PWY-4722)
p142,PWY-4981,L-proline biosynthesis II (from arginine),L-proline biosynthesis II (from arginine) (PWY-4981)
p143,PWY-4984,urea cycle,urea cycle (PWY-4984)
p144,PWY-5005,biotin biosynthesis II,biotin biosynthesis II (PWY-5005)
p145,PWY-5022,4-aminobutanoate degradation V,4-aminobutanoate degradation V (PWY-5022)
p146,PWY-5028,L-histidine degradation II,L-histidine degradation II (PWY-5028)
p147,PWY-5030,L-histidine degradation III,L-histidine degradation III (PWY-5030)
p148,PWY-5083,NAD(P)/NADPH interconversion,NAD(P)/NADPH interconversion (PWY-5083)
p149,PWY-5088,L-glutamate degradation VIII (to propanoate),L-glutamate degradation VIII (to propanoate) (PWY-5088)
p150,PWY-5097,L-lysine biosynthesis VI,L-lysine biosynthesis VI (PWY-5097)
p151,PWY-5100,pyruvate fermentation to acetate and lactate II,pyruvate fermentation to acetate and lactate II (PWY-5100)
p152,PWY-5101,L-isoleucine biosynthesis II,L-isoleucine biosynthesis II (PWY-5101)
p153,PWY-5103,L-isoleucine biosynthesis III,L-isoleucine biosynthesis III (PWY-5103)
p154,PWY-5104,L-isoleucine biosynthesis IV,L-isoleucine biosynthesis IV (PWY-5104)
p155,PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) (PWY-5121)
p156,PWY-5154,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine biosynthesis III (via N-acetyl-L-citrulline) (PWY-5154)
p157,PWY-5156,superpathway of fatty acid biosynthesis II (plant),superpathway of fatty acid biosynthesis II (plant) (PWY-5156)
p158,PWY-5173,307.3353044,no MetaCyc description (PWY-5173)
p159,PWY-5178,toluene degradation IV (aerobic) (via catechol),toluene degradation IV (aerobic) (via catechol) (PWY-5178)
p160,PWY-5180,toluene degradation I (aerobic) (via o-cresol),toluene degradation I (aerobic) (via o-cresol) (PWY-5180)
p161,PWY-5181,toluene degradation III (aerobic) (via p-cresol),toluene degradation III (aerobic) (via p-cresol) (PWY-5181)
p162,PWY-5182,toluene degradation II (aerobic) (via 4-methylcatechol),toluene degradation II (aerobic) (via 4-methylcatechol) (PWY-5182)
p163,PWY-5183,superpathway of aerobic toluene degradation,superpathway of aerobic toluene degradation (PWY-5183)
p164,PWY-5188,tetrapyrrole biosynthesis I (from glutamate),tetrapyrrole biosynthesis I (from glutamate) (PWY-5188)
p165,PWY-5189,tetrapyrrole biosynthesis II (from glycine),tetrapyrrole biosynthesis II (from glycine) (PWY-5189)
p166,PWY-5265,peptidoglycan biosynthesis II (staphylococci),peptidoglycan biosynthesis II (staphylococci) (PWY-5265)
p167,PWY-5304,superpathway of sulfur oxidation (Acidianus ambivalens),superpathway of sulfur oxidation (Acidianus ambivalens) (PWY-5304)
p168,PWY-5345,superpathway of L-methionine biosynthesis (by sulfhydrylation),superpathway of L-methionine biosynthesis (by sulfhydrylation) (PWY-5345)
p169,PWY-5347,superpathway of L-methionine biosynthesis (transsulfuration),superpathway of L-methionine biosynthesis (transsulfuration) (PWY-5347)
p170,PWY-5367,petroselinate biosynthesis,petroselinate biosynthesis (PWY-5367)
p171,PWY-5384,sucrose degradation IV (sucrose phosphorylase),sucrose degradation IV (sucrose phosphorylase) (PWY-5384)
p172,PWY-5392,reductive TCA cycle II,reductive TCA cycle II (PWY-5392)
p173,PWY-5415,catechol degradation I (meta-cleavage pathway),catechol degradation I (meta-cleavage pathway) (PWY-5415)
p174,PWY-5417,catechol degradation III (ortho-cleavage pathway),catechol degradation III (ortho-cleavage pathway) (PWY-5417)
p175,PWY-5419,catechol degradation to 2-hydroxypentadienoate II,catechol degradation to 2-hydroxypentadienoate II (PWY-5419)
p176,PWY-5420,catechol degradation II (meta-cleavage pathway),catechol degradation II (meta-cleavage pathway) (PWY-5420)
p177,PWY-5430,meta cleavage pathway of aromatic compounds,meta cleavage pathway of aromatic compounds (PWY-5430)
p178,PWY-5431,aromatic compounds degradation via &beta;-ketoadipate,aromatic compounds degradation via beta-ketoadipate (PWY-5431)
p179,PWY-5464,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle (PWY-5464)"
p180,PWY-5484,glycolysis II (from fructose 6-phosphate),glycolysis II (from fructose 6-phosphate) (PWY-5484)
p181,PWY-5497,purine nucleobases degradation II (anaerobic),purine nucleobases degradation II (anaerobic) (PWY-5497)
p182,PWY-5505,L-glutamate and L-glutamine biosynthesis,L-glutamate and L-glutamine biosynthesis (PWY-5505)
p183,PWY-5514,UDP-N-acetyl-D-galactosamine biosynthesis II,UDP-N-acetyl-D-galactosamine biosynthesis II (PWY-5514)
p184,PWY-5534,propene degradation,propene degradation (PWY-5534)
p185,PWY-5647,2-nitrobenzoate degradation I,2-nitrobenzoate degradation I (PWY-5647)
p186,PWY-5654,2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate,2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate (PWY-5654)
p187,PWY-5656,mannosylglycerate biosynthesis I,mannosylglycerate biosynthesis I (PWY-5656)
p188,PWY-5659,GDP-mannose biosynthesis,GDP-mannose biosynthesis (PWY-5659)
p189,PWY-5667,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol biosynthesis I (PWY-5667)
p190,PWY-5675,nitrate reduction V (assimilatory),nitrate reduction V (assimilatory) (PWY-5675)
p191,PWY-5676,acetyl-CoA fermentation to butanoate II,acetyl-CoA fermentation to butanoate II (PWY-5676)
p192,PWY-5677,succinate fermentation to butanoate,succinate fermentation to butanoate (PWY-5677)
p193,PWY-5686,UMP biosynthesis I,UMP biosynthesis I (PWY-5686)
p194,PWY-5690,TCA cycle II (plants and fungi),TCA cycle II (plants and fungi) (PWY-5690)
p195,PWY-5692,allantoin degradation to glyoxylate II,allantoin degradation to glyoxylate II (PWY-5692)
p196,PWY-5695,inosine 5'-phosphate degradation,inosine 5'-phosphate degradation (PWY-5695)
p197,PWY-5705,allantoin degradation to glyoxylate III,allantoin degradation to glyoxylate III (PWY-5705)
p198,PWY-5723,Rubisco shunt,Rubisco shunt (PWY-5723)
p199,PWY-5747,2-methylcitrate cycle II,2-methylcitrate cycle II (PWY-5747)
p200,PWY-5751,phenylethanol biosynthesis,phenylethanol biosynthesis (PWY-5751)
p201,PWY-5754,4-hydroxybenzoate biosynthesis I (eukaryotes),4-hydroxybenzoate biosynthesis I (eukaryotes) (PWY-5754)
p202,PWY-5791,no MetaCyc description,no MetaCyc description (PWY-5791)
p203,PWY-5837,"2-carboxy-1,4-naphthoquinol biosynthesis","2-carboxy-1,4-naphthoquinol biosynthesis (PWY-5837)"
p204,PWY-5838,superpathway of menaquinol-8 biosynthesis I,superpathway of menaquinol-8 biosynthesis I (PWY-5838)
p205,PWY-5840,superpathway of menaquinol-7 biosynthesis,superpathway of menaquinol-7 biosynthesis (PWY-5840)
p206,PWY-5845,superpathway of menaquinol-9 biosynthesis,superpathway of menaquinol-9 biosynthesis (PWY-5845)
p207,PWY-5850,superpathway of menaquinol-6 biosynthesis,superpathway of menaquinol-6 biosynthesis (PWY-5850)
p208,PWY-5855,ubiquinol-7 biosynthesis (early decarboxylation),ubiquinol-7 biosynthesis (early decarboxylation) (PWY-5855)
p209,PWY-5856,ubiquinol-9 biosynthesis (early decarboxylation),ubiquinol-9 biosynthesis (early decarboxylation) (PWY-5856)
p210,PWY-5857,ubiquinol-10 biosynthesis (early decarboxylation),ubiquinol-10 biosynthesis (early decarboxylation) (PWY-5857)
p211,PWY-5860,superpathway of demethylmenaquinol-6 biosynthesis I,superpathway of demethylmenaquinol-6 biosynthesis I (PWY-5860)
p212,PWY-5861,superpathway of demethylmenaquinol-8 biosynthesis I,superpathway of demethylmenaquinol-8 biosynthesis I (PWY-5861)
p213,PWY-5862,superpathway of demethylmenaquinol-9 biosynthesis,superpathway of demethylmenaquinol-9 biosynthesis (PWY-5862)
p214,PWY-5863,superpathway of phylloquinol biosynthesis,superpathway of phylloquinol biosynthesis (PWY-5863)
p215,PWY-5870,ubiquinol-8 biosynthesis (late decarboxylation),ubiquinol-8 biosynthesis (late decarboxylation) (PWY-5870)
p216,PWY-5896,superpathway of menaquinol-10 biosynthesis,superpathway of menaquinol-10 biosynthesis (PWY-5896)
p217,PWY-5897,superpathway of menaquinol-11 biosynthesis,superpathway of menaquinol-11 biosynthesis (PWY-5897)
p218,PWY-5898,superpathway of menaquinol-12 biosynthesis,superpathway of menaquinol-12 biosynthesis (PWY-5898)
p219,PWY-5899,superpathway of menaquinol-13 biosynthesis,superpathway of menaquinol-13 biosynthesis (PWY-5899)
p220,PWY-5910,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) (PWY-5910)
p221,PWY-5913,partial TCA cycle (obligate autotrophs),partial TCA cycle (obligate autotrophs) (PWY-5913)
p222,PWY-5918,superpathway of heme b biosynthesis from glutamate,superpathway of heme b biosynthesis from glutamate (PWY-5918)
p223,PWY-5920,superpathway of heme b biosynthesis from glycine,superpathway of heme b biosynthesis from glycine (PWY-5920)
p224,PWY-5971,palmitate biosynthesis (type II fatty acid synthase),palmitate biosynthesis (type II fatty acid synthase) (PWY-5971)
p225,PWY-5973,cis-vaccenate biosynthesis,cis-vaccenate biosynthesis (PWY-5973)
p226,PWY-5989,stearate biosynthesis II (bacteria and plants),stearate biosynthesis II (bacteria and plants) (PWY-5989)
p227,PWY-5994,palmitate biosynthesis (type I fatty acid synthase),palmitate biosynthesis (type I fatty acid synthase) (PWY-5994)
p228,PWY-6107,chlorosalicylate degradation,chlorosalicylate degradation (PWY-6107)
p229,PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,5-aminoimidazole ribonucleotide biosynthesis I (PWY-6121)
p230,PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II,5-aminoimidazole ribonucleotide biosynthesis II (PWY-6122)
p231,PWY-6123,inosine-5'-phosphate biosynthesis I,inosine-5'-phosphate biosynthesis I (PWY-6123)
p232,PWY-6124,inosine-5'-phosphate biosynthesis II,inosine-5'-phosphate biosynthesis II (PWY-6124)
