"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X9266ee26eeabc6a220c518083d91120a","Haemophilus (RSV32)",29,0.999999995859455,18,0.957333840094958,6,NA,0.957333840094958,FALSE
"X11902be998c8092e98cbe98af2f648af","unassigned Firmicutes (RSV33)",113,0.999999952394469,7,NA,26,0.736977090451976,0.736977090451976,FALSE
"X9e7125a102db8951720ec539b4e78113","Streptococcus (RSV34)",230,0.999999075146353,20,0.916966861648844,0,NA,0.916966861648844,FALSE
"X44536e7d859312677ce835c0cb53eeca","Gemella (RSV35)",29,0.999999988065022,8,NA,2,NA,0.999999988065022,FALSE
"Xb6635d67cb594473ddba9f8cfba5d13d","Bacteroides (RSV36)",103,0.991139087302274,28,0.959231161365879,50,0.999955763475199,0.959231161365879,FALSE
"X6e7317c14238561fe5865674e3a3206d","Streptococcus (RSV38)",146,0.999999999990084,43,0.907871767520192,32,0.921693752373472,0.907871767520192,FALSE
"X6623cebbaaeb0a2a66abe5a6dbdd8845","Veillonella (RSV39)",2,NA,2,NA,1,NA,NA,FALSE
"X6b6d13f1332283e053c18c3b7774b85c","Prevotella_9 (RSV40)",230,0.999999999999484,77,0.996191597702335,11,0.825821275269484,0.825821275269484,FALSE
"X29e1d7cb0e776b057206d57fd329c761","Dialister (RSV41)",218,1,53,0.974404092653927,2,NA,0.974404092653927,FALSE
"Xf330a8d2204597dbe97585c4185570bd","Bacteroides (RSV42)",60,0.96583920617878,13,0.733973597528639,7,NA,0.733973597528639,FALSE
"X9fed090466636a2fc71e6898ecd56969","Veillonella (RSV43)",4,NA,0,NA,0,NA,NA,FALSE
"X13f7a1ef880f3b73eeffa18951ffe96f","Streptococcus (RSV44)",27,0.906295363706396,5,NA,0,NA,0.906295363706396,FALSE
"X3d171b0adaae97c65a278411dbd1f90b","Streptococcus (RSV45)",4,NA,2,NA,0,NA,NA,FALSE
"X052ba7abaeaa968c4f79e3f97d1f0a2f","Pseudomonas (RSV46)",0,NA,3,NA,1,NA,NA,FALSE
"X101c48cfe83f8cce71719a4514fcb35b","Staphylococcus (RSV48)",4,NA,0,NA,0,NA,NA,FALSE
"X55ae36374045b6a58fdc9c11936be5cc","Veillonella (RSV49)",39,0.93569696011253,32,0.950555299411206,9,NA,0.93569696011253,FALSE
"Xb02a8d33d018119dedb2db15db887bfd","Cutibacterium (RSV50)",1,NA,4,NA,0,NA,NA,FALSE
"X32ab1812bd3770f4b7f6aad7273783da","Enterobacter (RSV51)",123,0.99999999999988,24,0.557087774424762,5,NA,0.557087774424762,FALSE
"X26547c96837ae7efcfa67fca0cc71140","Bacteroides (RSV52)",11,0.192104756529485,12,0.436554938324875,13,0.596631392851432,0.192104756529485,FALSE
"X8fd88bade4ab12bca62cbcef70c3c6f0","Klebsiella (RSV53)",89,1,17,0.517412681144024,2,NA,0.517412681144024,FALSE
"X24d821dddfbe031b81a44817e6d6a4c1","Klebsiella (RSV54)",163,1,28,0.677994384773218,4,NA,0.677994384773218,FALSE
"X90f0c3ecf764dde04f7b4f431a27638a","Pseudomonas (RSV55)",5,NA,6,NA,0,NA,NA,FALSE
"X8eb4e34fd58ab95fa2efab34940c01fa","Prevotella_9 (RSV56)",226,0.999999700775913,75,0.994745011943103,9,NA,0.994745011943103,FALSE
"Xbd6383169ddd32592a82ccdb7511c186","Klebsiella (RSV57)",56,0.839832785517931,3,NA,2,NA,0.839832785517931,FALSE
"Xdb92d5e78fb94056efc409ace74df645","Megasphaera (RSV58)",195,0.999999999999963,2,NA,0,NA,0.999999999999963,FALSE
"X7440aa816171ce9e81d9b67d2dda61c6","Bacteroides (RSV59)",114,0.990096386400518,33,0.963153512680264,50,0.638866613945626,0.638866613945626,FALSE
"X475a7aec8371b5ad941cd8c8939867c9","Veillonella (RSV60)",1,NA,1,NA,0,NA,NA,FALSE
"Xeed23b036f73d1c312c8955cda39ba58","Veillonella (RSV61)",5,NA,0,NA,3,NA,NA,FALSE
"X3f3a0eaeea9c0690b6ede1b17b4fd8ce","Bifidobacterium (RSV63)",209,0.99999009633306,9,NA,39,0.767837629237944,0.767837629237944,FALSE
"Xdd15951e49efb7d086763a72ace1db22","Haemophilus (RSV64)",14,0.927896256655707,2,NA,1,NA,0.927896256655707,FALSE
"X4d6fe682a4dd9aad8decfab830a193e0","Parabacteroides (RSV65)",166,0.999999186641411,35,0.937044464589502,48,0.882917901898454,0.882917901898454,FALSE
"X5354b5f62e45014a1b54b8ad68cfa269","Veillonella (RSV66)",20,0.938063827499101,2,NA,9,NA,0.938063827499101,FALSE
"X615e98f95754768b3a97483cecdf7830","Acinetobacter (RSV67)",6,NA,2,NA,0,NA,NA,FALSE
"X0a1f5ed70dcb37a86924dbd5fde981af","Enhydrobacter (RSV69)",11,0.729188895555517,3,NA,0,NA,0.729188895555517,FALSE
"Xc728ad6f5d183cb36fa06b6a3a47758b","Faecalibacterium (RSV70)",276,1,83,0.909878378302038,59,0.854131798261916,0.854131798261916,FALSE
"Xb264ac8ff5f9aff74f0b9aa084d9a9f0","Agathobacter (RSV71)",265,0.999999999990644,84,0.992421203577507,53,0.945542548317398,0.945542548317398,FALSE
"X4516aa60a483dd8c7bbc57098c45f1a5","Faecalibacterium (RSV73)",290,1,87,0.999999342516925,59,0.973847062606579,0.973847062606579,FALSE
"X1ef24a460c9407f352a964d2a211914e","Escherichia/Shigella (RSV74)",41,0.953496329842324,3,NA,0,NA,0.953496329842324,FALSE
"X572be56789b840dc21f0dfad380396b3","Bacteroides (RSV75)",97,0.978970725048634,15,0.473627977179364,13,0.751726740611984,0.473627977179364,FALSE
"X1cb79d5275187534b0c9403c523c210f","Veillonella (RSV76)",4,NA,0,NA,1,NA,NA,FALSE
"X6aee73dafee612f6712c469d7d9474f0","Clostridium_sensu_stricto_1 (RSV78)",3,NA,2,NA,1,NA,NA,FALSE
"Xa822eed692bc6f11f3e7a953ac0a23e4","Lactobacillus (RSV79)",73,0.87577813286766,5,NA,1,NA,0.87577813286766,FALSE
"X232af231b1a3a8ca6ef3bf5432418b64","Haemophilus (RSV80)",8,NA,7,NA,2,NA,NA,FALSE
"X990ca7dc83ec1f7499b25325f985cce0","Parabacteroides (RSV81)",8,NA,13,0.479594530618595,21,0.55265966547129,0.479594530618595,FALSE
"X51f7c8ee44363f94d016d6907b20aced","Bacteroides (RSV82)",61,0.999999985507436,36,0.975198457171658,41,0.609876891674916,0.609876891674916,FALSE
"X2e60d98fba9c68f58e7051d47b5547e0","unassigned Proteobacteria (RSV83)",2,NA,0,NA,0,NA,NA,FALSE
"X013d22a2068848f7feb2742276eded4e","Streptococcus (RSV84)",17,0.998034298672721,3,NA,1,NA,0.998034298672721,FALSE
"X218f40f443caf002f5ad5aa59ee08859","Parabacteroides (RSV85)",110,0.999993863978891,37,0.771830206061161,27,0.505748365339895,0.505748365339895,FALSE
"Xdfa833b266bd2993b86feab3617b34c3","Akkermansia (RSV86)",49,0.990364312690027,20,0.942556751789937,26,0.476682580934877,0.476682580934877,FALSE
"X157ba9d2b318f400b654ab995f7d7d4e","Acinetobacter (RSV87)",6,NA,4,NA,0,NA,NA,FALSE
"X70d55baf78e9ac4d0babeac5dcbae5c2","Bacteroides (RSV88)",140,0.999426228456822,32,0.784904337828617,50,0.632254248606431,0.632254248606431,FALSE
"X927948a3ccf40d7671afc0d5334d3eb6","Prevotella_9 (RSV89)",227,0.999999999995363,72,0.988820381908242,1,NA,0.988820381908242,FALSE
"Xb6a1cfc87c3ffa7f96227d4a372d8dd7","Subdoligranulum (RSV90)",281,0.999999999994825,81,0.996329689716506,63,0.813073375527598,0.813073375527598,FALSE
"Xfb7a1c0b3625f00ee42dbfcbaa001f12","Phascolarctobacterium (RSV92)",56,0.80702744850539,20,0.756708459598665,36,0.501523436017839,0.501523436017839,FALSE
"Xd4d386b7d01baf327f6b43aa568cb9e7","Bacteroides (RSV93)",8,NA,5,NA,22,0.653517328756094,0.653517328756094,FALSE
"X875f9ef9a121a3002ea097444690a20a","Clostridium_sensu_stricto_1 (RSV94)",95,0.999989811451579,24,0.785200849977523,2,NA,0.785200849977523,FALSE
"X208134d9710bcf4724a053b364b131ae","Bacteroides (RSV95)",21,0.760883618884451,9,NA,11,0.504845386468409,0.504845386468409,FALSE
"X14e2b413a5323d6df171b3834b56b20a","Bacteroides (RSV96)",2,NA,0,NA,3,NA,NA,FALSE
"X920a077b51fa752f2ab5f13e1f80b69a","Succinivibrio (RSV97)",105,0.999999999999961,48,0.776436038184762,0,NA,0.776436038184762,FALSE
"X6f323da0eca605b133f3270f331d52fa","Lactobacillus (RSV98)",218,0.999999999999966,11,0.972814249432316,2,NA,0.972814249432316,FALSE
"X8f6964be04dc2a2b5bfbaa4579311ab5","Staphylococcus (RSV99)",2,NA,1,NA,0,NA,NA,FALSE
"Xc016d7dfa3b6d4108112ec0a5fc2b5c5","Megamonas (RSV100)",72,0.99999800847827,8,NA,1,NA,0.99999800847827,FALSE
"Xd4e740bc5c2587cbbb188e8e30026611","Corynebacterium_1 (RSV101)",2,NA,2,NA,0,NA,NA,FALSE
"Xbbae6ed124f4d6b48435a964a95c8418","Faecalibacterium (RSV102)",290,1,85,0.999993987175584,57,0.987087814722595,0.987087814722595,FALSE
"Xe56cc5411512d332d51ca84ccc099402","Succinivibrio (RSV103)",69,0.980016236743299,40,0.684212219331214,0,NA,0.684212219331214,FALSE
"X98fcc7e4135d41152d2db711de5c1255","Bacteroides (RSV104)",102,0.977270481516762,53,0.831592797797358,48,0.621342708606364,0.621342708606364,FALSE
"X94e5c426709e3731d622c6d2e11c965e","Staphylococcus (RSV105)",2,NA,3,NA,0,NA,NA,FALSE
"Xb02d039dbcdd89fbba689da4ba2a58fd","Streptococcus (RSV106)",3,NA,0,NA,0,NA,NA,FALSE
"Xbb071962d981f185a79067a07d38afa2","Acinetobacter (RSV107)",1,NA,3,NA,0,NA,NA,FALSE
"Xf8e20bea6e9df8d119a0d801a3b17e7e","Lactobacillus (RSV108)",9,NA,0,NA,7,NA,NA,FALSE
"Xcb1173735acb993e45afcb567fbf1083","unassigned Proteobacteria (RSV109)",2,NA,0,NA,0,NA,NA,FALSE
"X7a5b875cf99ddb93b84ed03d5105530d","Enterobacter (RSV110)",135,1,12,0.547353036115314,4,NA,0.547353036115314,FALSE
"Xa8a85a39b353253ce68e687bf6c36e3e","Staphylococcus (RSV111)",1,NA,0,NA,0,NA,NA,FALSE
"X08135439d312c5bdb27840a374c9fa92","Acinetobacter (RSV112)",4,NA,0,NA,0,NA,NA,FALSE
"X85e5f4133e5ea47da3e24828bdf463f5","Ruminococcaceae_UCG-002 (RSV113)",218,0.999999942177966,80,0.998814061441737,32,0.603997626173426,0.603997626173426,FALSE
"X8cb24777cb48dde0aac60dfeca125d10","Bacillus (RSV114)",7,NA,0,NA,0,NA,NA,FALSE
"X1e870c64af7608a2cb5ffd2d5c5b01f3","Citrobacter (RSV115)",5,NA,4,NA,2,NA,NA,FALSE
"X0b93befcf48fdcb8fee557c5bc8f1672","Veillonella (RSV116)",0,NA,2,NA,0,NA,NA,FALSE
"Xe3c9c2a072b1dd41a3d26f812f5c5f0e","Veillonella (RSV117)",11,0.901397724776248,2,NA,13,0.983339019094427,0.901397724776248,FALSE
"X8878a0465f5d22d1c56917fe650a7df3","Clostridium_sensu_stricto_1 (RSV118)",23,0.886795330475463,4,NA,4,NA,0.886795330475463,FALSE
"Xf684347f6c1a5dcf941c4c17be9dfb8d","Sutterella (RSV119)",82,0.999999999999854,28,0.974573911751867,32,0.917891971939539,0.917891971939539,FALSE
"Xc6fdf631c16099e62a83c66db8a7a6f1","Subdoligranulum (RSV120)",294,1,85,0.993626964058301,53,0.820739120250446,0.820739120250446,FALSE
"X3153d6c5a7eabae1e28b3f2c0e4f5ac7","Prevotella_9 (RSV121)",211,1,64,0.931881140725272,3,NA,0.931881140725272,FALSE
"X35fd41579b5eec27ec14c400c586c480","Dialister (RSV123)",5,NA,5,NA,30,0.508240534890603,0.508240534890603,FALSE
"Xc7797c896756e960412d5549101b2748","Collinsella (RSV124)",62,0.835328237082209,0,NA,0,NA,0.835328237082209,FALSE
"X470a56a74fae96d5f2fb8c492bc5a610","Hydrogenophilus (RSV125)",4,NA,0,NA,0,NA,NA,FALSE
"X2903f2e41955a0f7fe924306eadea605","Haemophilus (RSV126)",47,0.999999999478618,23,0.984181365771105,11,0.998058167113724,0.984181365771105,FALSE
"Xcf948394015a0de603a868e3c1834154","Collinsella (RSV127)",19,0.724509145365992,1,NA,0,NA,0.724509145365992,FALSE
"X0e14e7ab105745ef2ef0891bd05831eb","Bradyrhizobium (RSV128)",3,NA,0,NA,0,NA,NA,FALSE
"Xcc22ededb519397c702ea17c5da85da3","Streptococcus (RSV129)",7,NA,0,NA,0,NA,NA,FALSE
"X908e9b387f6b9ce7d3f794e658fba37e","Staphylococcus (RSV130)",1,NA,1,NA,0,NA,NA,FALSE
"X5ffa45b1ff8681e9b0a43ea196e86275","Veillonella (RSV131)",8,NA,9,NA,2,NA,NA,FALSE
"Xd5efaef1c67fe453cfa5d6d2f8a68042","Paracoccus (RSV132)",1,NA,0,NA,0,NA,NA,FALSE
"X8f6e2a91e20994c00566a5ff2b49506e","Blautia (RSV133)",291,1,86,0.999790843271682,57,0.933899204268702,0.933899204268702,FALSE
"X8d478879084ed7c88660c8b0c4b24923","Ruminococcus_2 (RSV134)",183,0.999936844393587,73,0.892276481484313,23,0.639612477815403,0.639612477815403,FALSE
"X22f4ee9a41a4d73580bf7ade8e9e017a","Faecalibacterium (RSV135)",278,1,86,0.99980262854321,62,0.918128642822877,0.918128642822877,FALSE
"Xeee26944198c21eaa0afcc8261af456e","Megasphaera (RSV136)",72,0.981418115914068,1,NA,1,NA,0.981418115914068,FALSE
"X16684adccf4a4d35facc56a79870aaa9","Erysipelatoclostridium (RSV137)",49,0.999999948590705,8,NA,17,0.399582269235954,0.399582269235954,FALSE
"Xc6da490b249d5d89af322503daac81d9","Prevotella_9 (RSV138)",110,0.999990677511813,62,0.934776598579398,4,NA,0.934776598579398,FALSE
"X160f59b8faeb72b39cf724fab5055cf2","Megasphaera (RSV139)",3,NA,0,NA,2,NA,NA,FALSE
"Xd6bff94349f93df9c98368bfbc740ed0","unassigned Firmicutes (RSV140)",2,NA,0,NA,1,NA,NA,FALSE
"X3940a350430d910b62071c816ed954a6","Veillonella (RSV141)",2,NA,0,NA,0,NA,NA,FALSE
"X987f877fe75dfe03c02d087e633c215a","Libanicoccus (RSV142)",0,NA,5,NA,0,NA,NA,FALSE
"Xd6793536f54111ecbf88f606364d4298","Enterococcus (RSV143)",19,0.212377475042065,0,NA,0,NA,0.212377475042065,FALSE
"Xc6ca06086c59d470f5765e0d7684ac70","Veillonella (RSV144)",2,NA,8,NA,0,NA,NA,FALSE
"X0aa6767415c3c1d08d147c80b16ec596","Acinetobacter (RSV145)",2,NA,0,NA,0,NA,NA,FALSE
"Xce0837f50ab0a7abc73bddc82e8b55e6","Bacteroides (RSV146)",133,0.999999999999615,29,0.886370405120865,35,0.924053878756919,0.886370405120865,FALSE
"X9243bc95f3bb4eba8fabc522fa335a7f","Bacteroides (RSV147)",66,0.999632772868219,35,0.920172393468796,33,0.99999891352063,0.920172393468796,FALSE
"Xbf37c87f8841a9f1a2cd20db4fa18b74","Ruminococcaceae_UCG-002 (RSV148)",257,1,86,0.999990988574263,46,0.763643672314307,0.763643672314307,FALSE
"X73b9a313c153726841a55e295f19bdb5","Streptococcus (RSV149)",34,0.936793082127259,12,0.967703663293642,3,NA,0.936793082127259,FALSE
"Xc49cc7c2c45bd7a87913453e515ea14f","Acinetobacter (RSV150)",10,0.991270143832889,0,NA,0,NA,0.991270143832889,FALSE
"X66e2f8699b50c5be581d21573b440ec3","Bacillus (RSV152)",1,NA,0,NA,0,NA,NA,FALSE
"Xd9a8133c1c0cba024826069eac5bbf00","Acinetobacter (RSV153)",3,NA,1,NA,0,NA,NA,FALSE
"Xb0fc98e5c8f11484c2b2f6114d8a78de","Dermacoccus (RSV154)",0,NA,0,NA,1,NA,NA,FALSE
"X1fbb6683c9c6aaa6ce2687a4ad76c639","Megasphaera (RSV158)",2,NA,0,NA,3,NA,NA,FALSE
"Xad89a9d5fec4408fafb73e7225f44d08","Dorea (RSV160)",288,1,87,0.99994607544027,59,0.929426861345379,0.929426861345379,FALSE
"Xec5ee1d9ae158630c2b037f07fdc0a69","Lactobacillus (RSV161)",154,0.999999954271416,1,NA,0,NA,0.999999954271416,FALSE
"X8d83490106a0b4ac9bae742775c3cb6c","Parabacteroides (RSV162)",31,0.998600625240241,22,0.842060948503565,16,0.755685093046014,0.755685093046014,FALSE
"X5b6367adcf3124df5f04f4d3623837b9","Bacteroides (RSV164)",23,0.986938773677314,3,NA,0,NA,0.986938773677314,FALSE
"Xe0d1e3fa2e10e95e235a220259e73b2c","Veillonella (RSV165)",20,0.613281177438967,7,NA,12,0.773675462546869,0.613281177438967,FALSE
"X719852b30b6cf6748f52cf99407e1e35","Prevotella_9 (RSV166)",192,0.999999233159693,65,0.976743773547115,1,NA,0.976743773547115,FALSE
"Xa9d3f0bd5ca203b5354a332eca91a33c","Klebsiella (RSV167)",52,0.999999998905949,1,NA,0,NA,0.999999998905949,FALSE
"X8255b7ef9cac433fca7b7dbf2b61402e","Bacteroides (RSV168)",16,0.971149116033104,2,NA,9,NA,0.971149116033104,FALSE
"Xe5225d9ad60cd54861511a228f4809fd","Parabacteroides (RSV169)",42,0.965241805872253,17,0.642735189397051,27,0.460782725511896,0.460782725511896,FALSE
"X3928a2f4cdc892e498e0de5dae6875a9","Lactobacillus (RSV170)",2,NA,0,NA,0,NA,NA,FALSE
"Xca60f9527111263bca48622331f2b3f6","Alistipes (RSV171)",103,0.912210185044299,34,0.747328769153648,50,0.814590130592884,0.747328769153648,FALSE
"X630860d80a9dc35ed55113eeb8a3e761","Paracoccus (RSV172)",0,NA,1,NA,0,NA,NA,FALSE
"Xdd68c7b3d6b665f362d388f2f1be6663","Granulicatella (RSV173)",5,NA,5,NA,0,NA,NA,FALSE
"Xe5a506b03788d5b4e0ea3e4bc6664ce8","Bifidobacterium (RSV174)",6,NA,1,NA,0,NA,NA,FALSE
"X4df8473b0be4ef1e59f0b0709c586919","UBA1819 (RSV176)",212,0.999701422832175,21,0.776190788463054,58,0.370793713495477,0.370793713495477,FALSE
"Xc3a3a503752209bc052b3995236b079f","Streptococcus (RSV177)",4,NA,1,NA,0,NA,NA,FALSE
"X6a57339163b1db2da81ab332dc9b1823","unassigned Firmicutes (RSV178)",178,0.999922974372166,35,0.964912830728077,16,0.442404467091227,0.442404467091227,FALSE
"X7d90e48250138757536629dbc7b309dc","Streptococcus (RSV179)",0,NA,1,NA,0,NA,NA,FALSE
"X9352e570a182123f48d92df829d0fcf0","Catenibacterium (RSV180)",237,1,31,0.920079939208769,10,0.691895546710187,0.691895546710187,FALSE
"X2b868acb906ca5a23d3950b48894cd70","Micrococcus (RSV181)",1,NA,2,NA,0,NA,NA,FALSE
"Xdf5c1ef25ab497ab767dcbb6be082f83","Akkermansia (RSV182)",21,0.408610178955065,0,NA,9,NA,0.408610178955065,FALSE
"X5c2471c42e6b5b07f45f69d08b145d0b","Prevotella_9 (RSV184)",44,0.988425694479784,35,0.915556444586863,0,NA,0.915556444586863,FALSE
"X26f5fefce8bafd0c1933143ffd471ebc","Clostridium_sensu_stricto_1 (RSV185)",6,NA,4,NA,3,NA,NA,FALSE
"X42c44631c96adaeb8fb3424b34486e35","Collinsella (RSV186)",41,0.949629059911887,0,NA,0,NA,0.949629059911887,FALSE
"Xe6762de2614b218cabc331f24ce04d75","Streptococcus (RSV187)",2,NA,0,NA,0,NA,NA,FALSE
"Xdf3d6113f855e22f2a6d44e60f01baa7","Romboutsia (RSV188)",228,0.999996391092582,82,0.966148653050477,52,0.787875080151225,0.787875080151225,FALSE
"X7337431bc35b58de39893e6d6db1772b","Kocuria (RSV189)",2,NA,1,NA,0,NA,NA,FALSE
"Xaa15ec5479cde6d5381cbc99a0f6a59e","Veillonella (RSV190)",26,0.999999946606335,11,0.724165626224134,4,NA,0.724165626224134,FALSE
"X0bb47f6e088c63eec1cf288aebc80ab3","Lactobacillus (RSV191)",62,0.99298295226719,5,NA,1,NA,0.99298295226719,FALSE
"Xe2f1763cc76bbd845827dbf809f00b83","Enterobacter (RSV192)",5,NA,1,NA,3,NA,NA,FALSE
"Xeddabf287d8128094d0830de35a9f681","Salmonella (RSV193)",83,0.999999996838839,1,NA,0,NA,0.999999996838839,FALSE
"X75a7dd04040e23328468b763836841ac","Ruminococcus_2 (RSV194)",116,0.978301640928619,59,0.971950256519637,10,0.503971332785041,0.503971332785041,FALSE
"Xa4cd6152db4ba6371bd3d35fcda62a19","Streptococcus (RSV195)",5,NA,0,NA,21,0.645021628687486,0.645021628687486,FALSE
"X93b58b0ba0d326e9c8d1a81f8672c16a","unassigned Firmicutes (RSV197)",261,0.999999999999989,84,0.999899422465473,42,0.663640208502547,0.663640208502547,FALSE
"X707940842caa2afe60491008e04a8173","Lachnospiraceae_NK4A136_group (RSV198)",230,1,77,0.997209845042884,43,0.863420809898848,0.863420809898848,FALSE
"X0246885cf7157b74ba80daf1b827b996","Bacteroides (RSV199)",58,0.994311676599391,40,0.989505829169028,40,0.671982687967193,0.671982687967193,FALSE
"Xa7773d30c5a2009a19ba2df73fe658c1","Klebsiella (RSV200)",1,NA,1,NA,1,NA,NA,FALSE
"X63331571011d0c5d564b93cf586fd64b","Prevotella_9 (RSV201)",132,0.999999816729679,68,0.960375659184623,5,NA,0.960375659184623,FALSE
"X7b6d335d29fb8edf989ba7d03a848d84","Roseburia (RSV202)",218,0.999999999999068,82,0.999437435925839,46,0.983732937101949,0.983732937101949,FALSE
"X9be8e4d4919ec569eb355cb676c02eef","Flavonifractor (RSV203)",109,0.998748878417452,7,NA,49,0.776202873126817,0.776202873126817,FALSE
"X0b9d6ae30698fe3144a187eaaafdaef8","Bilophila (RSV204)",161,0.999999985419315,55,0.914030251231609,51,0.734572727112302,0.734572727112302,FALSE
"X05b4a33525d8ff49c4c1817fe41cde33","Coriobacteriaceae_UCG-003 (RSV206)",0,NA,9,NA,2,NA,NA,FALSE
"Xfab97a4ef535bdbf1a5f6c7204f63528","Veillonella (RSV207)",0,NA,1,NA,0,NA,NA,FALSE
"Xad52bbef279fc1fe7a3ca1c4b1fb9710","Holdemanella (RSV208)",226,1,49,0.959753241499334,9,NA,0.959753241499334,FALSE
"Xb8349e5459469537ac814c90cb3b99fa","Akkermansia (RSV209)",17,0.733096155149277,12,0.716660395463228,5,NA,0.716660395463228,FALSE
"X34f6a9f2891692941ec6fdb0095c4012","unassigned Firmicutes (RSV210)",188,0.999999996214471,43,0.928251591799135,24,0.508529949511157,0.508529949511157,FALSE
"X3d49d6d68e6ee5fce8dd0a8d4fc77987","Bifidobacterium (RSV211)",2,NA,2,NA,0,NA,NA,FALSE
"X52c9498a33730d91e3614567d3d3b1a0","Veillonella (RSV213)",2,NA,2,NA,0,NA,NA,FALSE
"X0a49a32752b611a144ddd506a2155134","Alloprevotella (RSV215)",86,0.999999999949805,25,0.973257919478845,1,NA,0.973257919478845,FALSE
