feature_id	feature	feature description	feature_full
p16	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	superpathway_of_L-aspartate_and_L-asparagine_biosynthesis_(ASPASN-PWY)
p17	AST-PWY	L-arginine degradation II (AST pathway)	L-arginine_degradation_II_(AST_pathway)_(AST-PWY)
p18	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	biotin_biosynthesis_I_(BIOTIN-BIOSYNTHESIS-PWY)
p19	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway_of_branched_chain_amino_acid_biosynthesis_(BRANCHED-CHAIN-AA-SYN-PWY)
p20	CALVIN-PWY	Calvin-Benson-Bassham cycle	Calvin-Benson-Bassham_cycle_(CALVIN-PWY)
p21	CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	catechol_degradation_to_&beta;-ketoadipate_(CATECHOL-ORTHO-CLEAVAGE-PWY)
p22	CENTFERM-PWY	pyruvate fermentation to butanoate	pyruvate_fermentation_to_butanoate_(CENTFERM-PWY)
p23	CITRULBIO-PWY	L-citrulline biosynthesis	L-citrulline_biosynthesis_(CITRULBIO-PWY)
p24	COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	superpathway_of_coenzyme_A_biosynthesis_III_(mammals)_(COA-PWY-1)
p25	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	coenzyme_A_biosynthesis_I_(prokaryotic)_(COA-PWY)
p26	COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I_(COBALSYN-PWY)
p27	COLANSYN-PWY	colanic acid building blocks biosynthesis	colanic_acid_building_blocks_biosynthesis_(COLANSYN-PWY)
p28	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	superpathway_of_aromatic_amino_acid_biosynthesis_(COMPLETE-ARO-PWY)
p29	CRNFORCAT-PWY	creatinine degradation I	creatinine_degradation_I_(CRNFORCAT-PWY)
p30	DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine_biosynthesis_I_(DAPLYSINESYN-PWY)
p31	DENITRIFICATION-PWY	nitrate reduction I (denitrification)	nitrate_reduction_I_(denitrification)_(DENITRIFICATION-PWY)
p32	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	superpathway_of_purine_nucleotides_de_novo_biosynthesis_II_(DENOVOPURINE2-PWY)
p33	DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	glucose_degradation_(oxidative)_(DHGLUCONATE-PYR-CAT-PWY)
p34	DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	dTDP-&beta;-L-rhamnose_biosynthesis_(DTDPRHAMSYN-PWY)
p35	ECASYN-PWY	enterobacterial common antigen biosynthesis	enterobacterial_common_antigen_biosynthesis_(ECASYN-PWY)
p36	FAO-PWY	fatty acid &beta;-oxidation I (generic)	fatty_acid_&beta;-oxidation_I_(generic)_(FAO-PWY)
p37	FASYN-ELONG-PWY	fatty acid elongation -- saturated	fatty_acid_elongation_--_saturated_(FASYN-ELONG-PWY)
p38	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	superpathway_of_fatty_acid_biosynthesis_initiation_(E._coli)_(FASYN-INITIAL-PWY)
p39	FERMENTATION-PWY	mixed acid fermentation	mixed_acid_fermentation_(FERMENTATION-PWY)
p40	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	superpathway_of_tetrahydrofolate_biosynthesis_and_salvage_(FOLSYN-PWY)
p41	FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	superpathway_of_fucose_and_rhamnose_degradation_(FUC-RHAMCAT-PWY)
p42	FUCCAT-PWY	fucose degradation	fucose_degradation_(FUCCAT-PWY)
p43	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	superpathway_of_hexuronide_and_hexuronate_degradation_(GALACT-GLUCUROCAT-PWY)
p44	GALACTARDEG-PWY	D-galactarate degradation I	D-galactarate_degradation_I_(GALACTARDEG-PWY)
p45	GALACTUROCAT-PWY	D-galacturonate degradation I	D-galacturonate_degradation_I_(GALACTUROCAT-PWY)
p46	GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	superpathway_of_N-acetylglucosamine,_N-acetylmannosamine_and_N-acetylneuraminate_degradation_(GLCMANNANAUT-PWY)
p47	GLUCARDEG-PWY	D-glucarate degradation I	D-glucarate_degradation_I_(GLUCARDEG-PWY)
p48	GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	superpathway_of_D-glucarate_and_D-galactarate_degradation_(GLUCARGALACTSUPER-PWY)
p49	GLUCONEO-PWY	gluconeogenesis I	gluconeogenesis_I_(GLUCONEO-PWY)
p50	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	glucose_and_glucose-1-phosphate_degradation_(GLUCOSE1PMETAB-PWY)
p51	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	superpathway_of_&beta;-D-glucuronosides_degradation_(GLUCUROCAT-PWY)
p52	GLUDEG-I-PWY	GABA shunt	GABA_shunt_(GLUDEG-I-PWY)
p53	GLUTORN-PWY	L-ornithine biosynthesis I	L-ornithine_biosynthesis_I_(GLUTORN-PWY)
p54	GLYCOCAT-PWY	glycogen degradation I	glycogen_degradation_I_(GLYCOCAT-PWY)
p55	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	glycogen_biosynthesis_I_(from_ADP-D-Glucose)_(GLYCOGENSYNTH-PWY)
p56	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	superpathway_of_glycol_metabolism_and_degradation_(GLYCOL-GLYOXDEG-PWY)
p57	GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway_(GLYCOLYSIS-E-D)
p58	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass_(GLYCOLYSIS-TCA-GLYOX-BYPASS)
p59	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	glycolysis_I_(from_glucose_6-phosphate)_(GLYCOLYSIS)
p60	GLYOXYLATE-BYPASS	glyoxylate cycle	glyoxylate_cycle_(GLYOXYLATE-BYPASS)
p61	GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	superpathway_of_glycerol_degradation_to_1,3-propanediol_(GOLPDLCAT-PWY)
p62	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate_(HCAMHPDEG-PWY)
p63	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	heme_b_biosynthesis_I_(aerobic)_(HEME-BIOSYNTHESIS-II)
p64	HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	heme_b_biosynthesis_II_(oxygen-independent)_(HEMESYN2-PWY)
p65	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	superpathway_of_hexitol_degradation_(bacteria)_(HEXITOLDEGSUPER-PWY)
p66	HISDEG-PWY	L-histidine degradation I	L-histidine_degradation_I_(HISDEG-PWY)
p67	HISTSYN-PWY	L-histidine biosynthesis	L-histidine_biosynthesis_(HISTSYN-PWY)
p68	HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine_biosynthesis_I_(HOMOSER-METSYN-PWY)
p69	HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine_biosynthesis_III_(HSERMETANA-PWY)
p70	ILEUDEG-PWY	L-isoleucine degradation I	L-isoleucine_degradation_I_(ILEUDEG-PWY)
p71	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	L-isoleucine_biosynthesis_I_(from_threonine)_(ILEUSYN-PWY)
p72	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	superpathway_of_(Kdo)2-lipid_A_biosynthesis_(KDO-NAGLIPASYN-PWY)
p73	KETOGLUCONMET-PWY	ketogluconate metabolism	ketogluconate_metabolism_(KETOGLUCONMET-PWY)
p74	LACTOSECAT-PWY	lactose and galactose degradation I	lactose_and_galactose_degradation_I_(LACTOSECAT-PWY)
p75	LEU-DEG2-PWY	L-leucine degradation I	L-leucine_degradation_I_(LEU-DEG2-PWY)
p76	LIPASYN-PWY	phospholipases	phospholipases_(LIPASYN-PWY)
p77	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	superpathway_of_lipopolysaccharide_biosynthesis_(LPSSYN-PWY)
p78	MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	superpathway_of_S-adenosyl-L-methionine_biosynthesis_(MET-SAM-PWY)
p79	METH-ACETATE-PWY	methanogenesis from acetate	methanogenesis_from_acetate_(METH-ACETATE-PWY)
p80	METHGLYUT-PWY	superpathway of methylglyoxal degradation	superpathway_of_methylglyoxal_degradation_(METHGLYUT-PWY)
p81	METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	superpathway_of_L-homoserine_and_L-methionine_biosynthesis_(METSYN-PWY)
p82	NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	NAD_salvage_pathway_III_(to_nicotinamide_riboside)_(NAD-BIOSYNTHESIS-II)
p83	NAGLIPASYN-PWY	lipid IVA biosynthesis (E. coli)	lipid_IVA_biosynthesis_(E._coli)_(NAGLIPASYN-PWY)
p84	NONMEVIPP-PWY	methylerythritol phosphate pathway I	methylerythritol_phosphate_pathway_I_(NONMEVIPP-PWY)
p85	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	pentose_phosphate_pathway_(non-oxidative_branch)_I_(NONOXIPENT-PWY)
p86	OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	O-antigen_building_blocks_biosynthesis_(E._coli)_(OANTIGEN-PWY)
p87	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	superpathway_of_L-arginine_and_L-ornithine_degradation_(ORNARGDEG-PWY)
p88	ORNDEG-PWY	superpathway of ornithine degradation	superpathway_of_ornithine_degradation_(ORNDEG-PWY)
p89	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	TCA_cycle_IV_(2-oxoglutarate_decarboxylase)_(P105-PWY)
p90	P108-PWY	pyruvate fermentation to propanoate I	pyruvate_fermentation_to_propanoate_I_(P108-PWY)
p91	P122-PWY	heterolactic fermentation	heterolactic_fermentation_(P122-PWY)
p92	P124-PWY	Bifidobacterium shunt	Bifidobacterium_shunt_(P124-PWY)
p93	P125-PWY	superpathway of (R,R)-butanediol biosynthesis	superpathway_of_(R,R)-butanediol_biosynthesis_(P125-PWY)
p94	P161-PWY	acetylene degradation (anaerobic)	acetylene_degradation_(anaerobic)_(P161-PWY)
p95	P163-PWY	L-lysine fermentation to acetate and butanoate	L-lysine_fermentation_to_acetate_and_butanoate_(P163-PWY)
p96	P164-PWY	purine nucleobases degradation I (anaerobic)	purine_nucleobases_degradation_I_(anaerobic)_(P164-PWY)
p97	P165-PWY	superpathway of purines degradation in plants	superpathway_of_purines_degradation_in_plants_(P165-PWY)
p98	P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	formaldehyde_assimilation_III_(dihydroxyacetone_cycle)_(P185-PWY)
p99	P221-PWY	octane oxidation	octane_oxidation_(P221-PWY)
p100	P23-PWY	reductive TCA cycle I	reductive_TCA_cycle_I_(P23-PWY)
p101	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I_(P4-PWY)
p102	P42-PWY	incomplete reductive TCA cycle	incomplete_reductive_TCA_cycle_(P42-PWY)
p103	P441-PWY	superpathway of N-acetylneuraminate degradation	superpathway_of_N-acetylneuraminate_degradation_(P441-PWY)
p104	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate_(P461-PWY)
p105	P562-PWY	myo-inositol degradation I	myo-inositol_degradation_I_(P562-PWY)
p106	P621-PWY	nylon-6 oligomer degradation	nylon-6_oligomer_degradation_(P621-PWY)
p107	PANTO-PWY	phosphopantothenate biosynthesis I	phosphopantothenate_biosynthesis_I_(PANTO-PWY)
p108	PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)_(PANTOSYN-PWY)
p109	PENTOSE-P-PWY	pentose phosphate pathway	pentose_phosphate_pathway_(PENTOSE-P-PWY)
p110	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)_(PEPTIDOGLYCANSYN-PWY)
p111	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	superpathway_of_phospholipid_biosynthesis_I_(bacteria)_(PHOSLIPSYN-PWY)
p112	PHOTOALL-PWY	oxygenic photosynthesis	oxygenic_photosynthesis_(PHOTOALL-PWY)
p113	POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	superpathway_of_polyamine_biosynthesis_II_(POLYAMINSYN3-PWY)
p114	POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	superpathway_of_polyamine_biosynthesis_I_(POLYAMSYN-PWY)
p115	POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	polyisoprenoid_biosynthesis_(E._coli)_(POLYISOPRENSYN-PWY)
p116	PPGPPMET-PWY	ppGpp metabolism	ppGpp_metabolism_(PPGPPMET-PWY)
p117	PROPFERM-PWY	superpathway of L-alanine fermentation (Stickland reaction)	superpathway_of_L-alanine_fermentation_(Stickland_reaction)_(PROPFERM-PWY)
p118	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate_degradation_II_(ortho-cleavage_pathway)_(PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY)
p119	PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	superpathway_of_histidine,_purine,_and_pyrimidine_biosynthesis_(PRPP-PWY)
p120	PWY-101	photosynthesis light reactions	photosynthesis_light_reactions_(PWY-101)
p121	PWY-1042	glycolysis IV	glycolysis_IV_(PWY-1042)
p122	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	CMP-3-deoxy-D-manno-octulosonate_biosynthesis_(PWY-1269)
p123	PWY-1501	mandelate degradation I	mandelate_degradation_I_(PWY-1501)
p124	PWY-1541	superpathway of taurine degradation	superpathway_of_taurine_degradation_(PWY-1541)
p125	PWY-1622	formaldehyde assimilation I (serine pathway)	formaldehyde_assimilation_I_(serine_pathway)_(PWY-1622)
p126	PWY-181	photorespiration	photorespiration_(PWY-181)
p127	PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)	formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)_(PWY-1861)
p128	PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	Entner-Doudoroff_pathway_III_(semi-phosphorylative)_(PWY-2221)
p129	PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	C4_photosynthetic_carbon_assimilation_cycle,_NADP-ME_type_(PWY-241)
p130	PWY-2723	trehalose degradation V	trehalose_degradation_V_(PWY-2723)
p131	PWY-2941	L-lysine biosynthesis II	L-lysine_biosynthesis_II_(PWY-2941)
p132	PWY-2942	L-lysine biosynthesis III	L-lysine_biosynthesis_III_(PWY-2942)
p133	PWY-3001	superpathway of L-isoleucine biosynthesis I	superpathway_of_L-isoleucine_biosynthesis_I_(PWY-3001)
p134	PWY-3781	aerobic respiration I (cytochrome c)	aerobic_respiration_I_(cytochrome_c)_(PWY-3781)
p135	PWY-3841	folate transformations II (plants)	folate_transformations_II_(plants)_(PWY-3841)
p136	PWY-4041	&gamma;-glutamyl cycle	&gamma;-glutamyl_cycle_(PWY-4041)
p137	PWY-4242	9808.6614879112	_(PWY-4242)
p138	PWY-4321	L-glutamate degradation IV	L-glutamate_degradation_IV_(PWY-4321)
p139	PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	S-methyl-5-thio-&alpha;-D-ribose_1-phosphate_degradation_I_(PWY-4361)
p140	PWY-4702	phytate degradation I	phytate_degradation_I_(PWY-4702)
p141	PWY-4722	creatinine degradation II	creatinine_degradation_II_(PWY-4722)
p142	PWY-4981	L-proline biosynthesis II (from arginine)	L-proline_biosynthesis_II_(from_arginine)_(PWY-4981)
p143	PWY-4984	urea cycle	urea_cycle_(PWY-4984)
p144	PWY-5005	biotin biosynthesis II	biotin_biosynthesis_II_(PWY-5005)
p145	PWY-5022	4-aminobutanoate degradation V	4-aminobutanoate_degradation_V_(PWY-5022)
p146	PWY-5028	L-histidine degradation II	L-histidine_degradation_II_(PWY-5028)
p147	PWY-5030	L-histidine degradation III	L-histidine_degradation_III_(PWY-5030)
p148	PWY-5083	NAD(P)/NADPH interconversion	NAD(P)/NADPH_interconversion_(PWY-5083)
p149	PWY-5088	L-glutamate degradation VIII (to propanoate)	L-glutamate_degradation_VIII_(to_propanoate)_(PWY-5088)
p150	PWY-5097	L-lysine biosynthesis VI	L-lysine_biosynthesis_VI_(PWY-5097)
p151	PWY-5100	pyruvate fermentation to acetate and lactate II	pyruvate_fermentation_to_acetate_and_lactate_II_(PWY-5100)
p152	PWY-5101	L-isoleucine biosynthesis II	L-isoleucine_biosynthesis_II_(PWY-5101)
p153	PWY-5103	L-isoleucine biosynthesis III	L-isoleucine_biosynthesis_III_(PWY-5103)
p154	PWY-5104	L-isoleucine biosynthesis IV	L-isoleucine_biosynthesis_IV_(PWY-5104)
p155	PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	superpathway_of_geranylgeranyl_diphosphate_biosynthesis_II_(via_MEP)_(PWY-5121)
p156	PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)_(PWY-5154)
p157	PWY-5156	superpathway of fatty acid biosynthesis II (plant)	superpathway_of_fatty_acid_biosynthesis_II_(plant)_(PWY-5156)
p158	PWY-5173	307.3353043941	_(PWY-5173)
p159	PWY-5178	toluene degradation IV (aerobic) (via catechol)	toluene_degradation_IV_(aerobic)_(via_catechol)_(PWY-5178)
p160	PWY-5180	toluene degradation I (aerobic) (via o-cresol)	toluene_degradation_I_(aerobic)_(via_o-cresol)_(PWY-5180)
p161	PWY-5181	toluene degradation III (aerobic) (via p-cresol)	toluene_degradation_III_(aerobic)_(via_p-cresol)_(PWY-5181)
p162	PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	toluene_degradation_II_(aerobic)_(via_4-methylcatechol)_(PWY-5182)
p163	PWY-5183	superpathway of aerobic toluene degradation	superpathway_of_aerobic_toluene_degradation_(PWY-5183)
p164	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	tetrapyrrole_biosynthesis_I_(from_glutamate)_(PWY-5188)
p165	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	tetrapyrrole_biosynthesis_II_(from_glycine)_(PWY-5189)
p166	PWY-5265	peptidoglycan biosynthesis II (staphylococci)	peptidoglycan_biosynthesis_II_(staphylococci)_(PWY-5265)
p167	PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	superpathway_of_sulfur_oxidation_(Acidianus_ambivalens)_(PWY-5304)
p168	PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)_(PWY-5345)
p169	PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	superpathway_of_L-methionine_biosynthesis_(transsulfuration)_(PWY-5347)
p170	PWY-5367	petroselinate biosynthesis	petroselinate_biosynthesis_(PWY-5367)
p171	PWY-5384	sucrose degradation IV (sucrose phosphorylase)	sucrose_degradation_IV_(sucrose_phosphorylase)_(PWY-5384)
p172	PWY-5392	reductive TCA cycle II	reductive_TCA_cycle_II_(PWY-5392)
p173	PWY-5415	catechol degradation I (meta-cleavage pathway)	catechol_degradation_I_(meta-cleavage_pathway)_(PWY-5415)
p174	PWY-5417	catechol degradation III (ortho-cleavage pathway)	catechol_degradation_III_(ortho-cleavage_pathway)_(PWY-5417)
p175	PWY-5419	catechol degradation to 2-hydroxypentadienoate II	catechol_degradation_to_2-hydroxypentadienoate_II_(PWY-5419)
p176	PWY-5420	catechol degradation II (meta-cleavage pathway)	catechol_degradation_II_(meta-cleavage_pathway)_(PWY-5420)
p177	PWY-5430	meta cleavage pathway of aromatic compounds	meta_cleavage_pathway_of_aromatic_compounds_(PWY-5430)
p178	PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	aromatic_compounds_degradation_via_&beta;-ketoadipate_(PWY-5431)
p179	PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	superpathway_of_cytosolic_glycolysis_(plants),_pyruvate_dehydrogenase_and_TCA_cycle_(PWY-5464)
p180	PWY-5484	glycolysis II (from fructose 6-phosphate)	glycolysis_II_(from_fructose_6-phosphate)_(PWY-5484)
p181	PWY-5497	purine nucleobases degradation II (anaerobic)	purine_nucleobases_degradation_II_(anaerobic)_(PWY-5497)
p182	PWY-5505	L-glutamate and L-glutamine biosynthesis	L-glutamate_and_L-glutamine_biosynthesis_(PWY-5505)
p183	PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II	UDP-N-acetyl-D-galactosamine_biosynthesis_II_(PWY-5514)
p184	PWY-5534	propene degradation	propene_degradation_(PWY-5534)
p185	PWY-5647	2-nitrobenzoate degradation I	2-nitrobenzoate_degradation_I_(PWY-5647)
p186	PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	2-amino-3-carboxymuconate_semialdehyde_degradation_to_2-hydroxypentadienoate_(PWY-5654)
p187	PWY-5656	mannosylglycerate biosynthesis I	mannosylglycerate_biosynthesis_I_(PWY-5656)
p188	PWY-5659	GDP-mannose biosynthesis	GDP-mannose_biosynthesis_(PWY-5659)
p189	PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol_biosynthesis_I_(PWY-5667)
p190	PWY-5675	nitrate reduction V (assimilatory)	nitrate_reduction_V_(assimilatory)_(PWY-5675)
p191	PWY-5676	acetyl-CoA fermentation to butanoate II	acetyl-CoA_fermentation_to_butanoate_II_(PWY-5676)
p192	PWY-5677	succinate fermentation to butanoate	succinate_fermentation_to_butanoate_(PWY-5677)
p193	PWY-5686	UMP biosynthesis I	UMP_biosynthesis_I_(PWY-5686)
p194	PWY-5690	TCA cycle II (plants and fungi)	TCA_cycle_II_(plants_and_fungi)_(PWY-5690)
p195	PWY-5692	allantoin degradation to glyoxylate II	allantoin_degradation_to_glyoxylate_II_(PWY-5692)
p196	PWY-5695	inosine 5'-phosphate degradation	inosine_5'-phosphate_degradation_(PWY-5695)
p197	PWY-5705	allantoin degradation to glyoxylate III	allantoin_degradation_to_glyoxylate_III_(PWY-5705)
p198	PWY-5723	Rubisco shunt	Rubisco_shunt_(PWY-5723)
p199	PWY-5747	2-methylcitrate cycle II	2-methylcitrate_cycle_II_(PWY-5747)
p200	PWY-5751	phenylethanol biosynthesis	phenylethanol_biosynthesis_(PWY-5751)
p201	PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	4-hydroxybenzoate_biosynthesis_I_(eukaryotes)_(PWY-5754)
p202	PWY-5791	0	_(PWY-5791)
p203	PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	2-carboxy-1,4-naphthoquinol_biosynthesis_(PWY-5837)
p204	PWY-5838	superpathway of menaquinol-8 biosynthesis I	superpathway_of_menaquinol-8_biosynthesis_I_(PWY-5838)
p205	PWY-5840	superpathway of menaquinol-7 biosynthesis	superpathway_of_menaquinol-7_biosynthesis_(PWY-5840)
p206	PWY-5845	superpathway of menaquinol-9 biosynthesis	superpathway_of_menaquinol-9_biosynthesis_(PWY-5845)
p207	PWY-5850	superpathway of menaquinol-6 biosynthesis	superpathway_of_menaquinol-6_biosynthesis_(PWY-5850)
p208	PWY-5855	ubiquinol-7 biosynthesis (early decarboxylation)	ubiquinol-7_biosynthesis_(early_decarboxylation)_(PWY-5855)
p209	PWY-5856	ubiquinol-9 biosynthesis (early decarboxylation)	ubiquinol-9_biosynthesis_(early_decarboxylation)_(PWY-5856)
p210	PWY-5857	ubiquinol-10 biosynthesis (early decarboxylation)	ubiquinol-10_biosynthesis_(early_decarboxylation)_(PWY-5857)
p211	PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	superpathway_of_demethylmenaquinol-6_biosynthesis_I_(PWY-5860)
p212	PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis I	superpathway_of_demethylmenaquinol-8_biosynthesis_I_(PWY-5861)
p213	PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	superpathway_of_demethylmenaquinol-9_biosynthesis_(PWY-5862)
p214	PWY-5863	superpathway of phylloquinol biosynthesis	superpathway_of_phylloquinol_biosynthesis_(PWY-5863)
p215	PWY-5870	ubiquinol-8 biosynthesis (late decarboxylation)	ubiquinol-8_biosynthesis_(late_decarboxylation)_(PWY-5870)
p216	PWY-5896	superpathway of menaquinol-10 biosynthesis	superpathway_of_menaquinol-10_biosynthesis_(PWY-5896)
p217	PWY-5897	superpathway of menaquinol-11 biosynthesis	superpathway_of_menaquinol-11_biosynthesis_(PWY-5897)
